Protein.ID,Sum.of.peptides.used.for.identification.across.all.four.LOPIT.experiments,LOPIT1_Protein.mascot.score,LOPIT1_No.of.distinct.peptides.identified,LOPIT1A_No.Of.MSMS.spectra.quantified,LOPIT1A_114,LOPIT1A_115,LOPIT1A_116,LOPIT1A_117,LOPIT1B_No.Of.MSMS.spectra.quantified,LOPIT1B_114,LOPIT1B_115,LOPIT1B_116,LOPIT1B_117,LOPIT2_Protein.mascot.score,LOPI2_No.of.distinct.peptides.identified,LOPIT2A_No.Of.MSMS.spectra.quantified,LOPIT2A_114,LOPIT2A_115,LOPIT2A_116,LOPIT2A_117,LOPIT2B_No.Of.MSMS.spectra.quantified,LOPIT2B_114,LOPIT2B_115,LOPIT2B_116,LOPIT2B_117,LOPIT3_Protein.mascot.score,LOPI3_No.of.distinct.peptides.identified,LOPIT3A_No.Of.MSMS.spectra.quantified,LOPIT3A_114,LOPIT3A_115,LOPIT3A_116,LOPIT3A_117,LOPIT3B_No.Of.MSMS.spectra.quantified,LOPIT3B_114,LOPIT3B_115,LOPIT3B_116,LOPIT3B_117,LOPIT4_Protein.mascot.score,LOPIT4_No.of.distinct.peptides.identified,LOPIT4A_No.Of.MSMS.spectra.quantified,LOPIT4A_114,LOPIT4A_115,LOPIT4A_116,LOPIT4A_117,LOPIT4B_No.Of.MSMS.spectra.quantified,LOPIT4B_114,LOPIT4B_115,LOPIT4B_116,LOPIT4B_117
AT5G47200,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,352.11,8,1,0.37,0.204,0.208,0.218,1,0.141,0.241,0.305,0.313,199.99,4,3,0.223,0.2276666667,0.2536666667,0.2956666667,1,0.352,0.185,0.214,0.249
AT4G18800,12,346.69,7,0,NA,NA,NA,NA,2,0.27,0.3035,0.267,0.159,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,214.67,5,4,0.217,0.20825,0.26,0.315,3,0.2913333333,0.1756666667,0.2566666667,0.276
AT4G17530,12,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,347.11,8,1,0.379,0.158,0.195,0.268,0,NA,NA,NA,NA,190.57,4,1,0.204,0.241,0.272,0.284,1,0.356,0.173,0.246,0.225
AT1G23170,12,224.25,5,0,NA,NA,NA,NA,1,0.243,0.23,0.267,0.26,204.89,4,0,NA,NA,NA,NA,2,0.245,0.283,0.2445,0.2275,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,136.99,3,0,NA,NA,NA,NA,1,0.231,0.229,0.268,0.271
AT4G16170,12,221.61,5,13,0.2271538462,0.2827692308,0.2501538462,0.24,3,0.3565,0.20775,0.20975,0.226,266.57,5,3,0.2896666667,0.2876666667,0.2486666667,0.1743333333,9,0.2619,0.2834,0.257,0.1979,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,74.41,2,3,0.30375,0.222,0.2405,0.234,2,0.293,0.201,0.2495,0.257
AT4G35100,11,228.62,3,25,0.1707636364,0.2843818182,0.2579090909,0.2870545455,18,0.2498684211,0.2838421053,0.2018947368,0.2642105263,218.37,3,3,0.1124,0.2612,0.2738,0.3528,5,0.1475833333,0.2223333333,0.2645833333,0.3650833333,173.74,3,6,0.2099285714,0.252,0.2484285714,0.2896428571,5,0.2163636364,0.2750909091,0.2832727273,0.2256363636,133.74,2,10,0.272625,0.2406666667,0.245,0.241625,3,0.2247272727,0.2009090909,0.2904545455,0.2846363636
AT4G37690,11,145.13,3,4,0.0975,0.274,0.3415,0.28675,14,0.1008571429,0.3013571429,0.3419285714,0.2559285714,90.14,2,6,0.065,0.373,0.3493333333,0.2128333333,3,0.0866666667,0.3396666667,0.3253333333,0.2486666667,201.93,4,10,0.1226,0.2665,0.3319,0.2791,7,0.1064545455,0.3165454545,0.27,0.3072727273,108.26,2,18,0.1972777778,0.285,0.3005555556,0.2176666667,6,0.1326666667,0.2956666667,0.303,0.2688333333
AT4G11010,11,84.57,2,2,0.059,0.127,0.337,0.477,1,0.31,0.171,0.226,0.294,100.83,2,3,0.084,0.0806666667,0.2493333333,0.5866666667,2,0.107,0.1045,0.262,0.5265,135.9,3,21,0.1397619048,0.1582857143,0.2213809524,0.4804285714,6,0.0967777778,0.3384444444,0.1885555556,0.3761111111,181.27,4,14,0.1534,0.1818666667,0.2592666667,0.4054,11,0.1269090909,0.1520909091,0.2814545455,0.4395454545
AT1G32090,11,136.23,3,2,0.1615,0.315,0.2275,0.296,10,0.2607272727,0.2170909091,0.2489090909,0.2731818182,124.99,3,5,0.1162,0.217,0.3124,0.3546,8,0.1328,0.2225,0.3303,0.3144,99.44,2,6,0.1653333333,0.2561666667,0.3008333333,0.278,2,0.159,0.2863333333,0.2646666667,0.2903333333,124.46,3,13,0.2087857143,0.2351428571,0.2726428571,0.2837142857,3,0.2773333333,0.1983333333,0.2666666667,0.2573333333
AT2G42210,11,140.72,3,9,0.0627333333,0.1736,0.3336666667,0.4298666667,8,0.0741538462,0.1939230769,0.3071538462,0.4244615385,129.29,3,5,0.0203333333,0.1276666667,0.3415555556,0.511,8,0.04,0.1575333333,0.3254,0.4770666667,78.46,2,2,0.1055,0.1695,0.212,0.5125,4,0.1021428571,0.2945714286,0.2205714286,0.3828571429,136.84,3,6,0.140625,0.169625,0.2465,0.443125,3,0.1656,0.1502,0.2766,0.4076
