"Gene > Secondary Identifier","Gene > DB identifier","Gene > Organism . Name","Gene > Proteins > UniProt Accession","Gene > Proteins > UniProt Name"
"CG2050","FBgn0002780","Drosophila melanogaster","P13469","MODU_DROME"
"CG2054","FBgn0022702","Drosophila melanogaster","Q9W092","CHIT2_DROME"
"CG2060","FBgn0014469","Drosophila melanogaster","Q27606","CP4E2_DROME"
"CG2062","FBgn0015034","Drosophila melanogaster","Q9V4T5","CP4E1_DROME"
"CG2087","FBgn0037327","Drosophila melanogaster","Q9NIV1","E2AK3_DROME"
"CG2103","FBgn0035375","Drosophila melanogaster","Q6WV16","GALT6_DROME"
"CG2139","FBgn0028646","Drosophila melanogaster","Q9VA73","CMC_DROME"
"CG2139","FBgn0028646","Drosophila melanogaster","Q9VA73","CMC_DROME"
"CG2139","FBgn0028646","Drosophila melanogaster","Q9VA73","CMC_DROME"
"CG2140","FBgn0264294","Drosophila melanogaster","Q9V4N3","CYB5_DROME"
"CG2140","FBgn0264294","Drosophila melanogaster","Q9V4N3","CYB5_DROME"
"CG2145","FBgn0030251","Drosophila melanogaster","Q9VZ49","ENDOU_DROME"
"CG2151","FBgn0020653","Drosophila melanogaster","P91938","TRXR1_DROME"
"CG2151","FBgn0020653","Drosophila melanogaster","P91938","TRXR1_DROME"
"CG2151","FBgn0020653","Drosophila melanogaster","P91938","TRXR1_DROME"
"CG2151","FBgn0020653","Drosophila melanogaster","P91938","TRXR1_DROME"
"CG2168","FBgn0017545","Drosophila melanogaster","P55830","RS3A_DROME"
"CG2168","FBgn0017545","Drosophila melanogaster","P55830","RS3A_DROME"
"CG2168","FBgn0017545","Drosophila melanogaster","P55830","RS3A_DROME"
"CG2171","FBgn0086355","Drosophila melanogaster","P29613","TPIS_DROME"
"CG2171","FBgn0086355","Drosophila melanogaster","P29613","TPIS_DROME"
"CG2198","FBgn0000071","Drosophila melanogaster","P15364","AMAL_DROME"
"CG2204","FBgn0001122","Drosophila melanogaster","P16378","GNAO_DROME"
"CG2204","FBgn0001122","Drosophila melanogaster","P16378","GNAO_DROME"
"CG2210","FBgn0000150","Drosophila melanogaster","P08879","NDKA_DROME"
"CG2212","FBgn0003656","Drosophila melanogaster","Q9U969","SWS_DROME"
"CG2212","FBgn0003656","Drosophila melanogaster","Q9U969","SWS_DROME"
"CG2212","FBgn0003656","Drosophila melanogaster","Q9U969","SWS_DROME"
"CG2238","FBgn0000559","Drosophila melanogaster","P13060","EF2_DROME"
"CG2238","FBgn0000559","Drosophila melanogaster","P13060","EF2_DROME"
"CG2248","FBgn0010333","Drosophila melanogaster","P40792","RAC1_DROME"
"CG2286","FBgn0017566","Drosophila melanogaster","Q94511","NDUS1_DROME"
"CG2331","FBgn0261014","Drosophila melanogaster","Q7KN62","TERA_DROME"
"CG2331","FBgn0261014","Drosophila melanogaster","Q7KN62","TERA_DROME"
"CG2331","FBgn0261014","Drosophila melanogaster","Q7KN62","TERA_DROME"
"CG2448","FBgn0030327","Drosophila melanogaster","Q9VYV5","FUT8_DROME"
"CG2522","FBgn0010391","Drosophila melanogaster","Q9U5L1","SRPR_DROME"
"CG2621","FBgn0003371","Drosophila melanogaster","P18431","SGG_DROME"
"CG2621","FBgn0003371","Drosophila melanogaster","P18431","SGG_DROME"
