Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
TRMT2B,0.5841,0.5265,0.6252,0.5668,1.4885,1.6264,2.1213,2.0256,0.9703,0.9114,20
TRMT44,4.1476,3.3793,0.8098,1.1527,0.7042,0.8243,0.9065,0.8700,0.6234,0.8123,5
TRMT5,0.7226,0.8053,2.3170,1.9162,0.9662,0.9198,1.0659,0.9710,0.4749,0.4685,80
TRMT6,0.4974,0.4636,1.0740,1.1244,0.7001,0.6782,0.7078,0.6525,2.7778,2.7425,64
TRMT61A,1.0598,0.8112,1.0512,1.0772,0.6851,0.7077,0.7448,0.6953,2.4186,2.2779,20
TRMT61B,0.6807,0.6165,1.0150,0.8617,1.2800,1.5574,1.8744,1.9041,0.6278,0.6236,16
TRMU,0.5728,0.5515,0.9747,0.7517,1.5131,1.5812,2.1074,2.0755,0.7137,0.6812,15
TRNAU1AP,0.8392,0.8071,2.1359,1.9137,0.9568,0.8710,0.9743,0.9378,0.6975,0.7504,13
TRNT1,1.4819,1.4003,1.5062,1.2291,1.1178,1.1418,1.4121,1.3164,0.5548,0.5415,111
TRO,1.0089,1.1165,1.3040,2.6943,0.8111,1.0640,1.1243,0.9744,0.6182,0.6747,2
TROAP,1.4743,1.5780,1.1310,1.4459,0.9273,0.9404,0.9911,1.1360,1.0424,1.1707,9
TROVE2,2.5137,2.0635,1.9173,1.5168,0.6264,0.5936,0.5246,0.4814,1.0677,1.0031,106
TRPC4AP,3.5545,3.1704,0.9408,0.8111,0.8075,0.7805,0.8359,0.9514,1.0627,1.0426,15
TRPM4,0.5427,0.5519,0.3599,0.3962,1.5243,1.5016,2.1120,2.1865,1.2826,1.2846,57
TRPM7,0.5345,0.5197,0.3943,0.4223,1.3949,1.3548,2.3473,2.0934,1.5296,1.5213,51
TRPS1,0.5570,0.5636,1.6092,1.6067,1.0712,1.2303,0.9729,1.1018,1.0136,1.1277,188
TRPT1,1.1419,1.2238,1.2299,1.2125,1.1008,1.1455,1.0669,1.2435,1.1766,1.5495,15
TRPV3,0.8568,1.1480,0.5736,0.7167,1.3620,1.3862,1.8426,1.7305,1.4204,1.4128,2
TRPV4,0.9020,0.8937,0.7044,0.7210,1.2551,1.3668,1.6381,1.6903,1.1450,1.1642,13
TRRAP,0.6890,0.6587,0.9459,0.7478,0.9966,1.0245,0.9546,1.0218,2.4206,2.2581,232
TRUB1,0.8365,0.8513,1.5242,1.4874,1.1392,1.1750,1.4215,1.4510,0.7433,0.7832,42
TRUB2,0.4011,0.4680,0.4767,0.5375,1.4224,1.5588,2.0595,1.9844,1.5507,1.3564,31
TSC1,4.4655,4.2866,0.8327,0.8750,0.6306,0.6913,0.7487,0.7666,0.5771,0.7073,38
TSC2,4.2606,4.0823,0.8105,0.9197,0.7611,0.7550,0.8260,0.8054,0.6857,0.7380,64
TSC22D1,5.1344,4.8052,1.0911,1.5219,0.4090,0.4621,0.4256,0.4377,0.3519,0.4281,17
TSC22D2,5.2371,5.2900,0.7067,0.9897,0.3907,0.3549,0.4575,0.3437,0.3480,0.3750,17
TSC22D3,5.5685,5.1672,0.8319,0.9032,0.4943,0.5206,0.5704,0.5546,0.5355,0.6221,14
TSC22D4,4.3609,4.6591,0.8058,0.9704,0.4288,0.5887,0.5522,0.5980,0.4455,0.4310,19
TSEN15,1.0591,1.1718,2.0857,1.6710,1.0280,0.8819,0.9436,0.7909,0.5900,0.6240,14
TSEN2,0.7192,0.6890,2.5063,3.0466,0.7100,0.6573,0.5400,0.5127,0.5228,0.6192,32
TSEN34,0.7047,0.8027,1.9215,1.5851,1.1228,0.9320,1.0334,0.9647,0.8224,0.6660,32
TSEN54,0.7046,0.6841,1.9694,2.1326,0.9723,0.7874,0.8323,0.7968,0.6448,0.6157,43
TSFM,0.6222,0.6072,1.0717,1.0758,1.3171,1.5057,1.8649,1.7944,0.6205,0.6620,133
TSG101,3.8494,3.3024,0.7591,0.6877,0.8352,0.8292,0.9129,0.9467,0.7686,0.8155,57
TSHZ1,0.9886,0.8011,1.1525,1.4245,1.3133,1.1158,1.2794,1.1523,1.1904,1.4278,1
TSKU,0.9007,0.4424,0.5963,0.6748,1.1212,1.1047,1.6794,1.9092,1.7405,1.1434,8
TSN,4.4740,4.0808,1.1755,1.0898,0.5494,0.5463,0.5235,0.5397,0.5097,0.5097,75
TSNARE1,0.6086,0.6999,0.8720,0.8311,1.1110,1.0024,1.1484,1.0722,2.2852,2.4195,3
TSNAX,3.3984,2.3265,1.4568,1.3118,0.5537,0.5329,0.4113,0.4207,0.4008,0.3593,15
TSPAN1,0.5324,0.4558,0.4140,0.4517,1.3232,1.3064,1.9405,1.9583,2.4185,1.6089,2
TSPAN13,0.6086,0.7910,0.8280,1.1418,1.0237,1.1136,1.4850,1.4752,1.3601,1.3623,12
TSPAN14,0.2496,0.4544,0.2253,0.1957,1.3221,1.1563,2.5013,2.1878,1.8192,1.5809,6
TSPAN15,0.5119,0.5268,0.2669,0.2507,1.2654,1.1972,2.1745,2.1771,1.7222,1.6895,24
TSPAN17,0.2805,0.2460,0.1050,0.1444,1.4828,1.2130,2.4963,2.1431,2.0019,2.3172,1
TSPAN3,0.9629,0.8673,0.5768,0.5460,0.9742,1.0979,1.4948,1.5311,2.2085,2.3605,3
TSPAN31,0.1809,0.1580,0.1663,0.1448,0.8794,0.9526,1.5509,1.6483,3.0241,2.7573,8
TSPAN4,0.7693,0.5927,0.3620,0.3784,1.3045,1.0912,1.9843,2.0753,2.3710,1.6939,2
TSPAN6,0.6825,0.6600,0.4383,0.6076,1.0537,0.9419,1.2346,1.5663,2.1910,2.0899,16
TSPAN9,0.7668,0.6798,0.5611,0.8587,1.3546,1.1975,1.3977,1.5888,1.9592,1.8778,2
TSPO,0.7315,0.7196,0.5053,0.4574,1.4186,1.5709,2.0404,2.2866,0.8688,0.8718,8
TSPYL1,0.6668,0.6711,0.6716,0.7111,0.9952,1.0923,0.8151,0.8700,2.7758,2.6428,48
TSPYL2,2.0585,1.9084,0.9302,0.4150,1.3134,1.4361,1.3118,1.2045,0.8985,0.8656,22
TSPYL4,1.5091,1.3544,1.4378,1.7550,0.8184,0.8705,0.8078,0.9218,1.1248,1.1820,16
TSPYL5,0.6850,0.7502,0.8745,0.9334,1.0221,0.9659,0.8509,0.9524,2.0904,2.2470,61
TSR1,0.8809,0.9217,1.5322,1.6007,0.8132,0.8215,0.6733,0.7008,1.7227,1.6167,104
TSR2,1.9268,1.7743,1.6825,2.0196,0.7524,0.6912,0.5336,0.5062,0.5801,0.6668,12
TSR3,2.3179,2.1540,0.8219,0.7645,1.0165,0.9045,0.9082,1.0995,1.5752,1.9389,15
TSSC1,3.1561,2.8688,1.3272,1.2434,0.8190,0.6428,0.6461,0.6618,0.7453,0.7694,17
TSSC4,1.4674,1.5351,1.6339,1.3227,0.5977,0.5804,0.6177,0.5448,1.9661,1.5201,15
TST,0.5307,0.5885,1.1515,0.9912,1.3178,1.4058,1.8524,1.5982,0.6702,0.6213,104
TSTA3,4.2198,3.7029,1.4028,1.2243,0.5429,0.5066,0.5659,0.4590,0.3656,0.3824,51
TSTD1,4.7042,4.2383,0.6828,0.6837,0.7961,0.7660,0.8360,0.9706,0.4319,0.3734,20
TSTD2,4.3656,4.0105,0.6945,0.7838,0.6006,0.6689,0.7063,0.6796,0.5553,0.6283,12
TTC1,4.2655,4.0449,0.9806,1.1554,0.6238,0.6079,0.6802,0.6875,0.5856,0.6669,99
TTC12,3.7875,3.6505,0.9568,1.0617,0.6503,0.7350,0.7526,0.7834,0.7389,0.7728,10
TTC13,0.4696,0.4637,0.3239,0.3261,1.3164,1.3675,2.2889,2.3671,1.5355,1.5484,49
TTC14,0.7354,0.7046,0.8884,0.8024,1.7067,1.7672,1.0936,1.0506,1.1144,1.1941,34
TTC17,0.4680,0.5329,0.4341,0.4000,1.2126,1.3168,2.1369,2.0877,1.4184,1.4313,41
TTC19,0.6433,0.6501,1.1799,0.8216,1.3651,1.4871,1.5537,1.8069,0.7476,0.8599,34
TTC21B,2.8518,2.6318,0.9705,0.8969,0.8491,0.8744,1.0257,1.0208,1.0113,1.0804,23
TTC23,0.7928,0.9013,0.7494,0.8382,0.8259,0.8390,1.0753,0.9790,2.4689,2.4802,6
TTC26,4.0584,3.6449,0.8245,0.6203,0.7782,0.7674,0.8392,0.8542,1.0003,1.1632,20
TTC27,5.0877,4.5087,0.8962,0.8249,0.6392,0.5923,0.6470,0.6901,0.5621,0.5805,60
TTC28,2.9388,2.4519,0.8859,0.8612,0.6471,0.8471,1.1316,0.7406,0.9222,0.8404,3
TTC3,0.7174,0.7582,0.6595,0.6425,0.9319,0.8497,1.1303,1.1295,2.6917,2.7405,67
TTC30A,2.8944,3.2163,1.1651,1.4064,0.6838,0.7836,0.9016,0.9353,0.9509,0.9921,5
TTC30B,2.1782,2.5205,0.9733,1.2100,0.9899,1.0263,0.8852,1.0678,1.1715,1.3714,3
TTC31,1.2561,0.9959,0.4291,0.4156,1.2819,1.2667,1.8368,1.3406,1.2906,1.4837,4
TTC33,0.4400,0.5550,1.9301,1.6741,0.7261,0.6918,0.6222,0.6376,1.8677,2.0381,28
TTC37,4.2234,3.8652,1.1254,0.9485,0.6281,0.5918,0.5890,0.6005,0.8149,0.8473,98
TTC38,3.3813,2.5987,1.2720,1.0958,1.0525,0.7840,1.1449,0.9622,0.6250,0.5975,4
TTC39A,4.5039,4.1272,0.8769,0.7622,0.7578,0.7453,0.7582,0.8297,0.5881,0.6663,31
TTC39B,3.4411,2.9345,1.0580,0.7465,1.0494,0.8876,0.9807,0.9786,0.7164,0.7893,17
TTC39C,4.8874,4.6661,0.6471,0.6364,0.6734,0.7231,0.6521,0.7288,0.6450,0.6393,17
TTC4,3.5610,3.4752,1.1054,1.0477,0.7286,0.7194,0.7235,0.7743,0.4780,0.5996,31
TTC5,2.2062,2.2287,1.5838,1.5962,0.8464,0.8160,0.7499,0.7531,0.7287,0.7114,32
TTC7A,0.9829,0.8903,0.6005,0.6175,1.3268,1.3792,1.9363,2.0105,1.1649,1.3032,36
TTC7B,1.0463,0.9307,0.6972,0.6825,1.2919,1.2210,1.8281,1.8279,1.1314,1.1306,14
TTC8,1.6350,1.6936,0.6206,0.5930,1.3140,1.2578,1.4210,1.7533,1.2678,1.2457,4
TTC9,5.0183,4.3905,1.1503,1.1043,0.4839,0.5244,0.4236,0.4258,0.4144,0.3817,12
TTC9C,2.1444,2.0187,1.5637,2.5186,0.6768,0.7865,0.6073,0.5733,0.5098,0.4495,9
TTF1,0.4557,0.4682,0.3882,0.3887,2.0105,2.0767,1.0055,1.0751,1.8274,1.7721,50
TTF2,3.9552,3.5664,0.8804,0.9011,0.8488,0.9114,0.7827,0.9560,0.5736,0.6943,73
TTI1,3.5287,3.2102,0.9224,0.7440,0.8858,0.7907,0.8708,0.9194,0.8730,1.0017,47
TTI2,4.0781,3.5104,0.9883,0.9653,0.6852,0.6148,0.7069,0.8095,0.7855,0.9558,20
TTK,2.5061,2.3764,0.7551,0.7473,0.9590,0.9589,1.3563,1.4874,0.9264,1.0453,58
TTL,4.5120,4.8951,0.7322,0.8104,0.5090,0.5131,0.5594,0.4834,0.3450,0.4524,12
TTLL12,4.2112,3.7646,1.3832,1.1960,0.6478,0.6056,0.5742,0.5795,0.4556,0.4533,82
TTLL4,1.7678,1.5832,0.5610,0.4968,1.0014,1.0877,1.2049,1.3493,1.9687,2.1354,10
TTLL5,0.8688,0.7895,0.5280,0.5936,0.9123,0.9259,1.1863,1.2458,2.5926,2.9726,28
TTLL9,0.4328,0.5719,0.2591,0.3946,1.5531,1.3504,2.9595,2.2976,1.7904,0.9267,1
TTPAL,2.4325,2.2075,0.9026,0.8265,0.8586,0.6855,0.9100,0.7471,1.0902,0.5960,4
TTYH3,0.5713,0.4519,0.2615,0.3190,0.9051,0.9401,1.6216,1.7194,2.4823,2.2369,9
TUBA1C,4.6420,4.3694,0.7050,0.9392,0.5971,0.6587,0.6130,0.6913,0.4655,0.4861,54
TUBA4A,6.1666,5.5728,0.6940,0.7731,0.4515,0.4619,0.4949,0.5711,0.3666,0.4391,24
TUBA8,1.6226,2.4044,0.7882,0.9807,0.7714,0.5598,1.3427,0.8699,2.1065,0.6655,8
TUBAL3,3.3115,3.5266,0.9824,1.1204,1.0338,0.9342,0.8749,0.8421,0.5291,0.7336,2
TUBB,5.4877,4.9602,0.7072,0.7986,0.5457,0.5660,0.5528,0.5762,0.3953,0.4739,122
TUBB1,3.8383,3.5914,0.7131,0.5460,0.7851,0.5876,0.8278,1.0319,0.6908,0.7989,3
TUBB2A,4.8152,6.1185,0.5294,0.8157,0.4020,0.4861,0.4056,0.5023,0.4504,0.4962,2
TUBB4B,5.7067,5.1885,0.7388,0.9515,0.4308,0.4614,0.3676,0.4991,0.3561,0.3622,32
TUBB6,5.3084,4.7092,0.5822,0.7107,0.5583,0.5702,0.4929,0.6502,0.5249,0.6207,26
TUBB8,5.1527,3.8875,1.0025,1.5477,0.5309,0.6714,0.2248,0.5843,0.3156,0.3800,10
TUBD1,1.6946,1.6146,0.8913,0.9571,0.9626,0.8963,0.9817,1.0464,1.6340,2.0282,16
TUBE1,1.2420,1.2191,1.0225,0.8783,1.1900,1.0740,1.1962,1.3190,1.5595,1.8064,4
TUBG1,2.3960,2.3713,0.8048,0.6353,0.9092,0.8249,0.9070,0.9664,1.5383,1.7545,16
TUBGCP2,2.9451,2.8458,0.7762,0.7527,0.8037,0.7834,0.8583,0.9058,1.5354,1.5192,75
TUBGCP3,2.4883,2.2671,0.6473,0.6748,0.8164,0.8254,0.9287,0.9521,1.8597,1.6068,39
TUBGCP4,2.5975,2.4286,0.7763,0.7107,0.7703,0.8428,1.0448,0.9909,1.5275,1.4399,17
TUBGCP5,4.0161,3.5745,0.6413,0.6809,0.6292,0.7011,0.6904,0.7647,1.3104,1.4690,28
TUBGCP6,2.7708,2.6229,0.6702,0.8372,0.6939,0.6785,0.8316,0.8478,1.8563,1.8738,17
TUFM,0.5300,0.5216,0.9048,0.8531,1.4199,1.5930,1.9739,1.9459,0.6210,0.6463,615
TUFT1,3.3515,3.4702,0.9616,1.2839,0.6917,0.7847,0.6101,0.6036,0.4529,0.5598,39
TULP1,0.4082,0.4879,0.6476,0.8444,1.4406,1.5986,2.2340,1.9512,0.9741,1.2805,1
TULP3,0.6661,0.8496,0.8253,0.8715,1.1219,1.0348,1.8281,1.9533,1.2807,1.3022,10
TULP4,2.6886,2.3050,1.4712,2.0656,0.6030,0.6799,0.6502,0.6957,0.6296,0.8855,1
TUSC1,1.0068,1.8003,1.4923,2.9690,0.8519,0.6811,0.4551,0.5182,0.9737,0.8683,5
TUSC2,2.9446,2.8136,1.0096,1.0411,0.9666,0.8674,1.2329,0.8902,0.7958,0.8109,6
TUSC3,0.6759,0.7094,0.3677,0.4373,1.4658,1.4563,2.1956,1.9545,1.4807,1.2618,24
TUT1,0.4748,0.6097,1.9074,2.2095,0.8466,0.7991,0.8926,0.8038,0.9987,1.0304,19
TWF1,4.8005,4.6021,0.8960,0.7982,0.5727,0.5488,0.5883,0.6274,0.7139,0.7275,98
TWF2,5.4088,4.8672,1.2130,0.8975,0.4859,0.4581,0.4895,0.4261,0.4080,0.4626,18
TWISTNB,0.4041,0.4747,0.8029,0.6986,1.7152,1.9216,0.8612,0.9252,1.5771,1.5418,32
TWSG1,0.4345,0.6290,1.0988,1.3038,1.0302,1.1335,1.5595,1.8916,1.0975,1.1881,9
TXLNA,2.0313,2.0214,1.7582,2.2760,0.6420,0.6426,0.5236,0.4893,0.4523,0.4851,172
TXLNG,2.0049,1.8914,1.8368,2.5610,0.6423,0.6556,0.5304,0.5016,0.4516,0.4835,128
TXN,5.0615,4.8369,0.9750,1.0874,0.4508,0.4738,0.4664,0.4262,0.3664,0.3665,126
TXN2,0.5187,0.5801,1.3348,1.1327,1.3367,1.4549,1.7345,1.7212,0.5260,0.5809,47
TXNDC11,0.4829,0.4431,0.5150,0.5870,1.2881,1.3299,1.7391,1.9056,1.2874,1.2977,22
TXNDC12,0.6410,0.6147,1.3023,1.5880,0.9568,0.9822,1.4640,1.5143,0.9924,0.9548,105
TXNDC15,0.7037,0.4527,0.3135,0.4343,1.2935,1.2268,2.2510,2.0700,1.3173,1.5569,17
TXNDC16,0.4299,0.4344,0.7090,0.6157,1.1687,1.2009,2.2828,2.0934,1.1692,1.2840,19
TXNDC17,5.0293,4.6417,1.2024,1.2188,0.5121,0.4798,0.4297,0.4224,0.3774,0.3140,62
TXNDC5,0.5089,0.5379,1.2267,1.2021,0.9978,1.0502,1.7402,1.7412,0.9994,1.0431,317
TXNDC9,4.6282,4.1574,1.0492,1.1023,0.5752,0.5810,0.6200,0.5886,0.5909,0.8016,33
TXNL1,3.8751,3.7004,1.5865,1.4119,0.5505,0.5414,0.4250,0.4066,0.5272,0.6024,106
TXNL4A,0.4902,0.4491,0.8651,0.5101,1.1118,1.2068,0.7166,0.7998,2.8751,2.7304,41
TXNL4B,4.3765,4.3929,0.7437,0.7194,0.6851,0.7198,0.6343,0.7767,0.7404,0.8534,12
TXNRD1,4.5704,4.3512,1.2063,1.2320,0.4582,0.5199,0.4033,0.4159,0.3529,0.3547,65
TXNRD2,0.6813,0.6940,1.2151,0.9806,1.3275,1.5182,1.8949,1.8510,0.6051,0.6257,49
TXNRD3,2.9551,2.6849,1.3889,1.1674,0.8781,0.9459,0.6693,0.7327,0.8714,0.7305,4
TYK2,0.8349,0.8449,0.4692,0.5223,1.3349,1.3107,1.8913,1.8359,1.6303,1.4284,44
TYMP,4.5556,4.2648,1.1257,0.8317,0.5877,0.6283,0.5915,0.5694,0.7798,0.8516,1
TYMS,4.9654,4.6774,1.2532,0.7017,0.5573,0.5040,0.5370,0.5553,0.5145,0.4756,22
TYRO3,0.6274,0.7434,0.4008,0.3620,1.2287,1.2356,2.1474,1.9367,1.8227,1.9008,9
TYRP1,0.5560,0.5362,0.4002,0.3624,0.8413,0.8884,1.7731,1.5377,2.7660,2.6869,3
TYSND1,0.9654,0.8785,0.5452,0.6077,1.2451,1.2130,1.8277,1.8911,1.2499,1.1821,25
TYW1,0.2361,0.2155,0.1410,0.1718,1.3350,1.3113,2.4363,2.3738,1.7162,1.6070,9
TYW3,5.6652,5.0933,0.4096,0.3511,0.5863,0.6437,0.4830,0.6942,0.6165,1.0439,4
TYW5,4.4219,4.2004,1.2598,1.1605,0.5093,0.6384,0.5735,0.5728,0.4826,0.4622,20
U2AF1,0.5823,0.5492,2.1272,2.3149,0.9492,0.9467,0.6392,0.6515,0.4968,0.5695,97
U2AF1L4,0.3453,0.3706,2.1491,2.3053,1.2041,1.1926,0.8687,0.8890,0.6271,0.6574,8
U2AF2,0.4814,0.4759,2.3159,2.7040,0.8991,0.9464,0.5557,0.5726,0.4605,0.4530,245
U2SURP,0.4196,0.4770,0.9469,1.1042,1.4305,1.4146,0.9519,0.9222,1.5921,1.4979,154
UACA,1.6435,1.5596,1.2408,1.4532,1.0136,1.0660,1.1067,1.1934,0.7964,0.9213,200
UAP1,4.1416,3.7452,1.1575,0.9084,0.6208,0.5369,0.6542,0.5501,0.4940,0.5557,25
UAP1L1,4.1931,4.0109,1.2363,1.0399,0.6320,0.6190,0.6305,0.5968,0.6410,0.5807,60
UBA1,2.6964,2.6054,1.7676,1.6094,0.7195,0.6747,0.6272,0.6027,0.4418,0.4793,729
UBA2,0.7301,0.8224,2.4401,2.0417,0.9157,0.7638,0.7832,0.7320,0.5683,0.5782,263
UBA3,1.5624,1.5181,2.2252,2.0908,0.8127,0.7009,0.6255,0.5743,0.4433,0.4722,43
UBA5,4.7884,4.3065,0.6697,0.7858,0.6879,0.6974,0.7209,0.7729,0.6040,0.7817,42
UBA6,4.5384,4.2664,0.9269,1.0057,0.5677,0.5901,0.5658,0.5818,0.4772,0.4895,126
UBAC1,4.5462,3.9118,1.1326,1.1724,0.5751,0.5404,0.4607,0.4723,0.3280,0.4093,42
UBAC2,0.5850,0.5897,0.2519,0.2240,1.3603,1.3321,2.1033,2.1364,1.6812,1.6369,25
UBALD1,2.6009,2.4848,0.8773,0.8476,1.2218,1.1901,0.6607,0.6988,1.2646,1.2198,4
UBALD2,3.9133,3.4130,1.1843,1.4379,0.8081,0.7117,0.4649,0.8015,0.9180,0.3105,1
UBAP1,5.4012,5.4188,0.7429,0.8935,0.5539,0.5956,0.5396,0.6013,0.5065,0.5232,17
UBAP2,3.5107,3.1912,1.3993,1.7851,0.5606,0.5941,0.5050,0.5269,0.4737,0.5178,56
UBAP2L,1.9416,1.9106,1.7339,2.1597,0.7055,0.7147,0.6477,0.6690,0.5381,0.6270,194
UBE2A,2.1125,2.2065,1.9702,2.1707,0.6091,0.7037,0.4671,0.3908,0.3525,0.3692,9
UBE2B,3.6711,3.3957,1.3810,1.6607,0.5403,0.5211,1.3227,0.5698,0.4383,0.5066,2
UBE2C,4.7983,4.5365,1.0803,0.9924,0.6814,0.5895,0.6587,0.6344,0.4265,0.4354,15
UBE2D2,2.4879,2.6670,0.9464,0.9391,0.6464,0.6875,0.9143,0.7703,1.8098,1.6928,8
UBE2D3,3.6402,3.5655,1.2636,1.2721,0.6162,0.5717,0.7002,0.6102,0.5570,0.5943,12
UBE2D4,4.9367,4.7969,0.8546,0.7566,0.5932,0.6671,0.5631,0.8684,0.6272,0.5583,1
UBE2E1,1.4331,1.7415,1.6991,1.2394,1.0539,0.8840,0.9893,1.0261,0.7930,0.7562,9
UBE2E2,0.9823,1.5802,2.0778,1.1648,0.8730,0.8712,1.1564,1.0730,0.6009,0.8793,2
UBE2E3,1.4049,2.6437,1.7613,1.2863,0.6517,0.5242,1.1668,1.0741,0.3648,0.6059,4
UBE2F,3.0313,3.5923,1.3541,1.2787,0.6023,0.6333,0.6716,0.6351,0.4369,0.5337,2
UBE2G1,3.5840,3.5487,1.4289,1.3028,0.6316,0.5907,0.5099,0.4869,0.5126,0.4843,18
UBE2G2,0.7619,0.8434,0.5306,0.5067,1.3294,1.2980,1.7027,2.1056,1.5006,1.2851,24
UBE2H,4.5502,4.0758,1.3779,0.9159,0.6618,0.5960,0.6112,0.6400,0.4585,0.4254,16
UBE2I,1.8301,1.9686,2.2820,1.5396,0.8433,0.7438,0.6020,0.5933,0.4566,0.4660,99
UBE2J1,0.2961,0.2348,0.2396,0.2621,1.3395,1.3213,2.0622,2.0999,1.7208,1.7508,32
UBE2J2,0.5861,0.4163,0.4520,0.5869,1.3947,1.3863,2.0259,2.0046,1.4203,1.5054,9
UBE2K,3.9516,3.7153,1.1346,1.1471,0.6935,0.6460,0.7231,0.6493,0.4938,0.4980,48
UBE2L3,3.8256,3.4284,1.3710,1.4413,0.6134,0.6095,0.5221,0.4822,0.4263,0.4051,121
UBE2L6,2.8743,2.6749,1.2406,1.6779,0.7781,0.7238,1.0508,0.9181,0.6685,0.5750,1
UBE2M,2.7132,2.7693,1.2392,1.1984,0.8844,0.8208,0.8774,0.8958,0.6969,0.6868,75
UBE2N,3.4588,3.2927,1.2664,0.9684,0.8699,0.7821,0.9649,0.8517,0.6153,0.6521,27
UBE2O,5.6720,5.1533,0.7706,0.8127,0.4904,0.5199,0.4953,0.5344,0.3867,0.4751,148
UBE2Q1,3.7881,3.5651,0.9837,0.8779,0.8723,0.7399,0.9042,0.8929,0.6680,0.7679,33
UBE2Q2,2.5764,3.1788,1.2202,1.6488,0.7624,0.7528,0.7351,0.7569,0.5863,0.6173,7
UBE2R2,3.9451,3.7325,1.5025,1.1642,0.6833,0.6622,0.6904,0.7582,0.4709,0.5446,12
UBE2S,1.3240,1.5938,1.5694,1.4558,1.0504,0.8646,1.1121,1.0122,0.7756,0.7383,25
UBE2T,1.1767,1.3578,2.0676,1.9358,0.8624,0.7848,0.6976,0.7344,0.5155,0.5234,46
UBE2W,3.6051,3.4222,1.1489,1.0465,0.9016,0.7997,0.8720,0.9083,0.5237,0.7133,2
UBE2V2,4.5625,4.4187,1.2036,1.0941,0.5959,0.4743,0.5196,0.5398,0.4904,0.5394,30
UBE2Z,3.2513,3.1305,1.0394,1.0149,0.7796,0.7625,0.7361,0.8527,0.5995,0.7376,75
UBE3A,2.9430,2.6934,1.6495,1.3586,0.7223,0.6282,0.6489,0.6496,0.5864,0.5925,84
UBE3B,5.2399,4.5988,0.6372,0.4501,0.7238,0.7477,0.7980,0.9116,0.5833,0.6593,13
UBE3C,2.9302,2.7428,0.9970,0.8494,0.8508,0.8411,0.9227,1.0257,1.0239,1.1161,62
UBE3D,3.1626,2.7826,0.7328,0.6320,1.1014,0.9742,1.1229,1.1166,1.0202,0.9546,4
UBE4A,1.0194,0.9277,0.8276,0.7651,1.1718,1.1235,1.7698,1.6546,1.4117,1.2234,135
UBE4B,2.9280,2.7020,1.2390,1.1620,0.8096,0.7558,0.8972,0.9058,0.7185,0.7420,89
UBFD1,3.1633,3.1141,1.5404,1.9228,0.5600,0.5872,0.5178,0.4833,0.3870,0.3852,61
UBIAD1,0.6976,0.6840,0.5572,0.6051,0.8983,0.9070,1.5694,1.5983,2.2617,2.0853,12
UBL3,0.5655,0.4982,0.6525,0.6508,1.1978,1.1504,1.8382,1.6277,1.7994,1.9729,13
UBL4A,2.6624,2.7193,1.2685,1.4488,0.7174,0.7498,0.7658,0.7755,0.7422,0.7369,41
UBL5,3.2470,2.8653,0.7233,0.7168,1.3021,1.3066,0.7218,0.7760,1.0208,1.0304,29
UBL7,3.3146,3.1662,1.7085,1.5502,0.6308,0.6113,0.5937,0.6307,0.4195,0.4243,27
UBLCP1,1.6404,1.9534,2.0598,1.0368,0.9645,0.6337,0.8802,0.7784,0.7465,0.6848,32
UBN1,0.5404,0.5827,0.5096,0.5418,2.0899,1.9935,1.2732,1.2353,1.5489,1.4292,43
UBN2,0.5449,0.5159,0.5554,0.6489,2.1396,2.2198,1.3192,1.3860,1.2389,1.1208,31
UBOX5,0.8311,0.8282,1.7117,1.8196,1.1125,1.0593,1.1002,1.2053,0.7640,0.9857,9
UBP1,1.4731,1.4398,1.6847,1.4248,1.1130,1.2832,0.8271,0.9912,0.4710,0.5964,24
UBQLN1,2.1943,2.1455,1.3578,1.6131,0.7643,0.7615,0.8614,0.7254,0.5729,0.6928,45
UBQLN2,3.5776,4.0105,1.0419,1.0122,0.5843,0.4982,0.5343,0.5131,0.4732,0.5784,11
UBQLN4,1.9849,2.0479,1.6117,1.8561,0.8515,0.9340,0.6218,0.6649,0.5119,0.5613,47
UBR1,2.7220,2.7650,1.3015,1.2033,0.9022,0.8022,0.8749,0.9042,0.7442,0.7808,36
UBR2,3.1820,2.9444,1.0961,0.9381,0.8878,0.8245,0.9677,0.9282,0.7774,0.8010,83
UBR3,2.6999,2.4815,1.2555,1.1549,0.9647,0.8263,1.0238,1.0344,0.7704,0.8165,71
UBR4,4.3404,3.9230,0.8114,0.7573,0.6444,0.6284,0.7240,0.7506,0.9464,0.9471,371
UBR5,0.5954,0.5784,1.3968,1.2356,0.7760,0.6889,0.8157,0.8108,2.1188,2.0026,267
UBR7,0.7534,0.8463,2.5372,2.6298,0.6976,0.6269,0.4834,0.4658,0.3656,0.3984,134
UBTD1,0.3717,0.4863,0.6214,0.7564,1.6493,1.4672,2.1122,2.0580,1.3167,1.1244,2
UBTD2,1.2905,1.5221,0.8350,0.9413,1.0529,1.1169,1.2749,1.6008,1.0523,1.1638,12
UBTF,0.5799,0.5158,0.5872,0.5679,2.1735,2.2779,1.6453,1.6517,0.6859,0.7128,266
UBXN1,3.3140,2.8246,1.7579,1.5232,0.4946,0.4918,0.4052,0.3302,0.2955,0.2740,51
