Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
PCDHGB1,0.4190,0.4818,0.4998,0.6469,1.1792,1.1564,2.1830,1.9147,1.7281,1.7832,8
PCDHGB4,0.3746,0.3401,0.3918,0.4886,1.2388,1.2648,2.1195,2.2696,1.7604,1.7798,5
PCDHGB7,1.1505,0.4729,1.0149,1.2019,1.1639,1.0294,1.7423,1.3946,1.1597,1.6374,1
PCDHGC3,0.6823,0.5574,0.6852,0.7544,1.0528,1.0120,1.8152,1.6585,1.7096,1.4521,10
PCED1B,1.0781,1.3256,0.9598,0.8179,1.2783,1.4207,1.3205,1.2153,1.4884,1.4777,2
PCF11,0.5676,0.5806,2.0429,2.5557,0.8071,0.8274,0.6830,0.6957,0.6138,0.6839,108
PCGF1,0.7521,0.9190,0.9516,0.8004,1.6688,1.9582,0.9462,1.0857,1.3897,1.4521,7
PCGF2,0.6165,0.5804,0.8969,0.7962,0.8979,0.9185,0.8050,0.8144,2.2352,2.4435,17
PCGF3,0.5528,0.4959,1.7080,1.4153,1.0748,0.9890,1.0428,1.0048,1.0903,1.0633,24
PCGF5,0.3650,0.6250,2.3684,2.2649,0.9487,0.8375,0.7735,0.7761,0.8158,0.9658,11
PCGF6,0.5839,0.6049,1.0168,0.9574,1.6991,1.7814,1.0885,1.3807,1.2365,1.1403,12
PCID2,2.3101,2.0531,1.2838,1.1829,1.1942,1.2578,0.8216,0.8463,0.8084,0.8279,34
PCIF1,0.6351,0.7235,2.5648,2.0395,0.8576,0.7810,0.6470,0.6788,0.5471,0.5692,60
PCK2,0.6788,0.5812,1.1384,0.8741,1.3636,1.4894,1.8655,1.8608,0.5612,0.5829,173
PCM1,0.7674,0.7593,0.5677,0.6185,0.7413,0.7211,0.9449,0.8951,3.1382,2.8005,267
PCMT1,3.5826,3.4108,1.2343,1.3869,0.7213,0.7148,0.8255,0.8556,0.5175,0.5799,95
PCMTD1,1.4373,1.4075,1.5832,1.7137,0.9650,0.9088,0.9119,0.9198,0.8317,0.9191,21
PCMTD2,1.7443,1.6860,1.5168,1.5697,1.0379,1.0001,0.9153,0.9735,0.8416,0.8566,17
PCNA,1.0075,0.9774,2.1432,2.1561,1.1234,1.1119,0.5973,0.5967,0.4056,0.4169,468
PCNP,0.5725,0.6591,2.3831,3.1862,0.6196,0.6733,0.3918,0.4037,0.5107,0.4675,80
PCNT,1.2680,1.2346,1.0029,1.1966,1.0340,1.0888,1.2763,1.2439,1.2882,1.3847,215
PCNX,0.5378,0.4099,0.3310,0.4522,1.2724,1.3597,2.2168,2.0526,1.6577,1.8035,17
PCNXL3,0.6734,0.5140,0.4391,0.5322,1.2782,1.2935,1.9418,1.9838,1.3599,1.3537,52
PCOLCE,1.9019,1.4693,1.1119,1.1165,1.1330,0.7478,0.9445,1.3045,1.7202,1.2509,1
PCP4,4.3043,4.8670,1.1120,1.2739,0.5776,0.6017,0.4381,0.4315,0.5031,0.6094,11
PCSK2,0.7566,0.7918,0.8290,0.8534,1.0898,1.0992,1.8211,1.8864,1.4104,1.6064,2
PCSK6,0.7747,0.6131,0.8889,0.9259,0.9532,1.0618,1.3095,1.4376,1.3760,1.4808,7
PCSK7,0.5662,0.6411,0.8055,0.8395,0.8493,1.0873,1.5346,1.3333,2.1017,1.8555,8
PCTP,4.9263,4.1404,0.6060,0.6881,0.7258,0.6923,0.7855,0.7753,0.5419,0.5506,19
PCYOX1,0.4665,0.4906,0.3287,0.4179,1.4325,1.4069,2.0952,2.1314,1.4255,1.1832,223
