Protein,FS1 A H322,FS1 B H322,FS2 A H322,FS2 B H322,FP1 A H322,FP1 B H322,FP2 A H322,FP2 B H322,FP3 A H322,FP3 B H322,MIN PSMs for quant
EIF4A1,2.1653,2.1312,1.7471,1.8073,0.6563,0.721,0.836,0.8636,0.8259,0.8314,447
EIF4A2,1.5307,1.4657,1.8072,1.808,0.7283,0.7669,0.9086,0.9083,1.0029,0.9903,112
EIF4A3,0.7903,0.8297,0.7163,0.6919,1.9662,2.0162,0.857,0.8622,1.1626,1.0635,271
EIF4B,1.3717,1.1867,2.8347,2.7275,0.6547,0.7196,0.5488,0.5551,0.6699,0.6558,382
EIF4E,1.7406,1.8273,1.6278,1.6171,0.7197,0.7928,0.8689,0.9187,1.1106,1.085,94
EIF4E2,0.7788,0.7999,2.43,2.4636,0.6654,0.7759,0.9759,0.8856,0.9582,0.8333,19
EIF4E3,1.022,0.9238,0.9544,0.999,1.1768,1.1971,1.1464,1.3341,1.4875,1.2927,1
EIF4EBP1,3.237,3.1429,1.0982,1.1402,0.6232,0.7228,0.8409,0.7724,0.8363,0.8143,35
EIF4EBP2,5.1092,5.2049,1.2189,1.112,0.5703,0.451,0.479,0.45,0.3314,0.3564,10
EIF4ENIF1,1.3593,1.3839,1.6951,1.6876,0.6174,0.6963,0.7941,0.7597,1.7914,1.4013,55
EIF4G1,1.7333,1.682,1.751,1.7466,0.6897,0.7609,0.8959,0.9237,1.0647,1.01,840
EIF4G2,1.1956,1.1519,1.7976,1.7964,0.7578,0.8387,0.9778,1.0166,1.0926,1.0672,332
EIF4G3,2.0382,2.0317,1.7979,1.8433,0.6723,0.7204,0.7637,0.8106,1.0173,0.9447,157
EIF4H,3.8804,3.8383,1.79,1.8203,0.466,0.5104,0.4385,0.4299,0.4922,0.4863,165
EIF5,2.0808,1.9493,2.2934,2.321,0.5984,0.6897,0.5611,0.5804,0.8338,0.7843,285
EIF5A,4.6226,4.6319,1.4052,1.4542,0.4309,0.4442,0.4499,0.4331,0.4359,0.4529,149
EIF5A2,3.5169,3.6289,1.0774,1.0084,0.6932,0.699,0.7848,0.7736,0.8901,0.9668,3
EIF5B,1.387,1.3308,2.1298,2.0276,0.6735,0.7288,0.7318,0.726,1.1637,1.0487,427
EIF6,3.5248,3.8934,1.449,1.4052,0.7634,0.8275,0.4432,0.4477,0.632,0.6289,157
ELAC1,4.2042,4.4754,1.3906,1.3813,0.6056,0.6786,0.6159,0.532,0.4942,0.4895,3
ELAC2,1.2965,1.5578,2.0492,1.7691,0.7981,0.761,1.2843,1.1134,0.5886,0.5472,89
ELAVL1,0.4547,0.4728,0.4282,0.4116,1.9566,2.0533,0.7851,0.7885,1.7811,1.6201,221
ELF1,0.4015,0.4464,2.1405,2.0221,1.0071,1.1102,0.8296,0.8711,1.0631,0.9645,31
ELF2,0.591,0.5378,2.3084,2.2409,0.995,1.0989,0.9075,0.8396,1.0359,0.896,20
ELF3,0.9842,1.1103,1.3043,1.2684,1.0853,1.0973,0.9097,0.9558,1.6991,1.4383,32
ELF4,1.1811,1.1652,0.9714,1.0738,1.3047,1.147,1.3433,1.1477,1.1567,1.1339,1
ELFN2,0.4373,0.4112,0.6805,0.6379,1.4099,1.4005,1.6286,1.5584,1.3052,1.1882,8
ELK1,1.6216,1.7088,1.928,1.7832,0.8123,0.8077,0.9845,0.8244,0.9697,0.9114,2
ELK3,1.1867,1.2946,1.3445,1.2401,1.0591,1.022,1.3582,1.2803,0.9828,0.9434,9
ELK4,1.1586,1.2859,1.4156,1.4158,1.0441,1.1503,1.1933,1.1485,0.9489,1.0053,4
ELL,0.9053,0.9727,2.0636,1.8729,1.3004,1.2718,0.6635,0.6666,0.9425,0.8276,35
ELL2,0.7697,0.6813,1.8366,1.8277,1.2207,1.1989,0.9534,0.8758,0.9536,0.8134,7
ELMO1,2.9422,3.3169,0.9745,1.3028,0.6344,0.7817,0.8483,0.9306,0.8312,0.9688,1
