Protein,FS1 A H322,FS1 B H322,FS2 A H322,FS2 B H322,FP1 A H322,FP1 B H322,FP2 A H322,FP2 B H322,FP3 A H322,FP3 B H322,MIN PSMs for quant
REEP4,0.5933,0.5983,0.4724,0.4723,1.1482,1.084,1.6579,1.4641,1.7145,1.5382,21
REEP5,0.4385,0.4122,0.4177,0.3837,1.0425,1.0264,1.4673,1.3846,2.1701,1.9249,205
REEP6,0.5434,0.5896,0.4847,0.3847,0.9589,0.9958,1.2466,1.278,2.1271,1.7529,20
REL,3.7892,3.7186,1.119,1.1999,0.657,0.7355,0.6096,0.5995,0.6809,0.6948,22
RELA,3.8249,3.8897,1.1926,1.2892,0.556,0.626,0.5852,0.602,0.6131,0.6048,63
RELB,2.9962,3.0828,1.1519,1.2411,0.7856,0.8131,0.8468,0.8663,0.6246,0.6386,8
RELL1,0.294,0.3826,0.23,0.2593,1.7284,1.6775,1.6854,1.7444,0.927,0.9431,21
RELT,0.882,0.8368,0.3657,0.2725,1.1468,1.151,1.673,1.6749,1.5276,1.3856,3
REPIN1,0.9374,1.0633,1.6947,1.3967,0.697,0.7489,0.9276,0.8211,2.2647,1.7969,13
REPS1,2.5531,2.3281,1.1268,1.4442,0.9272,1.0005,0.9235,0.9943,0.6842,0.7396,53
REPS2,2.8896,2.59,1.432,1.542,0.7289,0.8771,0.8085,0.8898,0.5866,0.6319,24
RER1,0.602,0.625,0.5846,0.5518,0.7844,0.8145,1.1699,1.1031,2.2455,2.0198,42
RERE,0.644,0.5726,2.6124,2.5678,1.0504,1.0459,0.6075,0.5963,0.7577,0.7595,33
RERG,3.2879,3.5708,1.4026,1.4753,0.4392,0.5398,0.4651,0.4746,0.8786,0.8252,8
REST,0.4322,0.4523,0.6638,0.6308,1.6996,1.7545,0.6887,0.676,2.0557,1.7815,27
RETSAT,0.7332,0.6724,0.4344,0.4296,1.1915,1.1373,1.798,1.7571,1.3141,1.3699,57
REV1,1.6962,1.5843,1.2432,1.0935,1.0504,1.2949,0.9263,0.91,1.1805,1.1251,4
REV3L,0.6817,0.7505,0.6493,0.5908,2.1667,2.3993,0.7739,0.8289,1.1243,1.2128,2
REXO1,0.6038,0.5417,1.3305,1.3385,1.0776,1.168,1.0041,1.0086,1.6486,1.4617,21
REXO2,3.0705,3.2491,1.2346,1.1767,0.738,0.7431,1.1506,1.0075,0.4836,0.487,53
REXO4,0.5057,0.4773,0.4632,0.4439,2.2781,2.5285,0.765,0.7995,1.1204,1.0641,44
RFC1,0.4232,0.4251,0.6105,0.5935,0.763,0.7744,0.8665,0.8933,3.2096,2.5117,143
RFC2,0.8205,0.8562,1.2372,1.1525,0.8455,0.8877,0.9306,0.9424,2.0132,1.7602,103
RFC3,0.7759,0.7537,1.1151,1.0131,0.8799,0.9032,0.9348,1.0079,2.0859,1.8459,100
RFC4,0.9725,1.0285,1.2137,1.1652,0.8327,0.8626,0.9415,0.983,2.0011,1.6871,152
RFC5,0.8506,0.8507,1.23,1.1046,0.9285,0.904,0.9965,1.0633,1.8323,1.6406,95
RFESD,3.8125,4.4571,1.0219,0.9,0.7759,0.6658,0.7437,0.6096,0.8044,0.6537,2
RFFL,0.8811,0.8383,0.6217,0.6286,1.074,1.2219,1.2655,1.2761,1.7451,1.494,20
RFK,3.794,4.5859,1.0482,1.1177,0.5032,0.5293,0.8783,0.8704,0.4581,0.3703,8
RFNG,0.8281,1.0289,0.8067,0.9048,1.023,0.9124,1.5058,1.3838,1.5238,1.2028,4
RFPL2,3.0396,2.9505,1.6096,1.3888,0.6553,0.5743,0.7793,0.7592,0.7338,0.853,3
RFT1,0.7845,0.8935,0.5361,0.5457,1.2114,1.2002,1.6114,1.5849,1.3028,1.375,33
RFTN1,0.5441,0.6611,0.5246,0.4806,1.513,1.499,1.7238,1.5363,1.0857,1.1113,10
RFWD2,0.5648,0.5063,1.1206,1.1173,1.8642,1.9099,0.7596,0.7024,1.3714,1.2356,21
RFWD3,0.8724,0.9061,1.6709,1.6587,0.9991,0.9224,1.0206,1.0142,1.245,1.181,11
RFX1,0.5311,0.4588,1.6309,1.5463,1.4187,1.4495,0.9198,1.0315,0.9266,0.942,8
RFX2,0.5789,0.4902,1.0762,0.9222,1.5391,1.5655,1.3695,1.2748,1.0232,1.1053,2
RFX3,0.3553,0.3342,1.393,1.372,1.2668,1.2618,1.1589,1.1972,1.0141,1.0295,5
RFX5,0.5317,0.4931,1.4185,1.2748,1.1466,1.1854,1.0184,1.0104,1.4942,1.3488,24
RFX7,0.6073,0.7307,1.6517,1.7281,1.2244,1.07,0.8391,0.9238,1.1,1.1943,8
RFXANK,2.8118,3.6409,1.395,1.5401,0.7135,0.744,0.5982,0.6869,0.8817,0.738,2
RFXAP,2.0228,2.2682,2.0639,1.8952,0.8331,0.818,0.6159,0.6141,1.1001,0.7472,3
RGL2,2.8438,2.7917,0.795,0.8231,0.7797,0.8306,0.9998,1.0603,0.8307,0.8455,16
RGL3,3.4991,3.7329,0.9092,1.0202,0.6339,0.7117,0.8914,0.9831,0.7537,0.7621,7
RGP1,1.5813,1.5881,1.0208,1.0143,0.9156,1.0102,1.2961,1.2976,1.062,1.1742,10
RGPD3,0.3707,0.4481,0.762,0.6443,2.0166,2.031,1.2473,1.3408,0.9808,0.8491,2
RGPD8,1.268,1.5267,0.6293,0.5789,1.5796,1.9169,1.2798,1.1474,0.8269,0.8557,2
RGS10,3.6819,4.2337,1.4292,1.3279,0.6119,0.5538,0.6202,0.5678,0.5942,0.539,14
RGS12,1.8513,1.7,0.907,0.7703,0.9536,1.2066,1.4043,1.1995,1.0435,1.0866,1
RGS19,1.404,1.2767,0.5771,0.5538,1.2479,1.1235,1.6749,1.5831,1.1148,1.0363,15
RGS20,0.5611,0.5988,0.3425,0.3445,1.5177,1.557,1.6499,1.63,1.3145,1.1767,15
RGS3,4.2042,4.3513,1.1503,1.2509,0.4977,0.5268,0.6927,0.6325,0.5228,0.5485,24
RGS6,2.3655,2.7038,1.0483,0.9936,0.822,0.7627,1.2127,1.1291,0.9289,0.8976,2
RGS7,0.511,0.5479,0.3414,0.3904,2.2071,2.7789,0.7192,0.7219,1.0078,0.9298,7
RHBDD1,0.7786,0.8768,0.4372,0.5016,1.2935,1.2523,1.6449,1.5877,1.2417,1.1801,15
RHBDD2,1.1186,1.0935,0.6661,0.7529,1.06,1.02,1.6719,1.4186,1.196,1.1484,5
RHBDD3,0.8224,0.7921,0.4669,0.4886,0.8819,0.9927,1.4783,1.3714,1.9909,1.6966,7
RHBDF1,0.589,0.6205,0.5058,0.4436,1.4593,1.4456,1.609,1.5845,1.0166,1.0231,46
RHBDF2,0.3688,0.4101,0.3892,0.3543,1.6502,1.7092,1.7388,1.7093,0.8459,0.897,26
RHBDL2,0.8517,0.7655,1.1582,2.7237,0.7639,0.8644,1.2911,0.8069,0.6905,0.7459,1
RHEB,3.476,3.7446,1.2808,1.4468,0.6209,0.6198,0.7122,0.7441,0.6976,0.6872,30
RHOA,1.1922,1.3063,0.4091,0.4022,1.0417,0.9957,1.7401,1.5753,1.3818,1.3117,94
RHOB,0.3596,0.4451,0.3308,0.3078,1.3273,1.3204,1.6828,1.6487,1.6033,1.3654,8
RHOBTB3,0.5961,0.6,0.3881,0.3667,1.4778,1.4979,1.662,1.5751,1.2821,1.2473,17
RHOC,0.7942,0.7651,0.707,0.4398,0.9422,1.2069,1.8362,2.04,0.8835,0.7877,13
RHOD,0.5358,0.4772,0.5785,0.5268,1.4405,1.3474,1.5023,1.4302,1.4513,1.4125,20
RHOF,0.4014,0.3332,0.2853,0.2397,1.4952,1.4207,1.791,1.7085,1.2963,1.2173,54
RHOG,0.5332,0.4544,0.5479,0.5081,1.1516,1.0318,1.6718,1.5337,1.4899,1.4522,44
RHOQ,0.7937,0.6945,0.2167,0.4323,1.6155,1.2601,1.6641,1.5987,1.3695,1.3439,1
RHOT1,0.3881,0.4754,0.3641,0.3833,1.081,1.022,2.33,2.1077,0.8801,0.9376,53
RHOT2,0.3176,0.3567,0.2583,0.262,1.118,1.0325,2.4565,2.2466,0.8276,0.8758,60
RHOV,1.3853,1.3021,0.6996,0.7162,1.1555,1.2072,1.4725,1.3754,1.2301,1.1707,3
RHPN1,1.817,1.7191,1.3014,1.2438,0.9115,1.0503,1.0647,1.204,0.9762,0.9862,3
RHPN2,3.6928,3.6243,0.9143,0.9724,0.6057,0.6764,0.8559,0.8821,0.6751,0.7466,40
RIBC2,0.5081,0.4606,0.5146,0.5085,0.8574,0.8653,1.871,1.5855,1.9554,1.7137,4
RIC8A,3.5265,3.9528,0.788,0.7899,0.6049,0.6394,0.7904,0.8388,0.7779,0.8143,60
RIC8B,3.793,3.8851,0.8777,0.8582,0.5437,0.5927,0.9707,1.0993,0.6794,0.7356,2
RICTOR,2.3957,2.317,0.8322,0.942,0.7607,0.814,1.0238,1.1007,1.1474,1.2099,103
RIF1,0.432,0.4078,0.647,0.6759,2.4974,2.5733,0.7926,0.8293,0.7044,0.7554,219
RILPL1,4.1867,4.3161,0.9922,1.0928,0.5047,0.5781,0.6472,0.6896,0.6303,0.7279,28
RIMS2,2.9393,2.8144,1.3603,1.3662,0.7022,0.7616,0.761,0.7493,0.8206,0.751,33
RIMS3,2.0427,1.8314,1.0175,1.0032,0.9919,1.1438,1.1329,1.0871,1.0721,1.0529,2
RIN1,3.4625,3.5679,0.797,0.872,0.5707,0.658,0.8952,0.9778,0.765,0.8779,30
RIN2,3.3906,3.5145,0.8905,0.8695,0.6634,0.7495,0.873,0.9488,0.9116,0.8924,26
RIN3,3.252,3.0885,1.0299,1.0742,0.6347,0.7995,0.9425,1.0107,0.7779,0.9328,8
RING1,0.7068,0.6752,1.1123,1.2245,1.4376,1.4224,0.789,0.8363,1.321,1.2652,29
RINL,2.9466,3.7131,0.9441,0.9787,0.6767,0.7873,0.8077,0.8326,1.1594,0.9989,4
RINT1,0.3563,0.3376,0.4034,0.3816,1.1664,1.0302,1.9446,1.7662,1.4902,1.4905,43
RIOK1,1.6083,1.5194,1.3892,1.3678,0.8239,0.8656,1.0517,1.0717,1.1208,1.1063,39
RIOK2,2.2204,2.2247,1.1304,1.257,0.5967,0.6644,0.6231,0.6294,1.7791,1.6466,30
RIOK3,3.2219,3.3649,1.1958,1.2849,0.6323,0.7162,0.7708,0.8094,0.8515,0.8407,20
RIPK1,4.3858,4.5323,0.7987,0.8777,0.5754,0.6741,0.7733,0.8235,0.5817,0.6273,63
RIPK2,3.8197,4.247,0.8561,0.9412,0.5806,0.7268,0.7696,0.7698,0.6472,0.7062,28
RIPK4,1.9821,2.1943,0.9134,0.7856,1.0321,1.0461,1.1685,1.2488,0.9556,0.9908,9
RIT1,2.2581,2.143,0.9681,0.9798,0.9484,0.9216,1.2619,1.2062,0.9446,0.9305,10
RITA1,0.5494,0.5548,0.599,0.7829,1.2419,1.1547,1.5243,1.2905,1.9219,1.533,1
RLF,0.6671,0.5967,0.6087,0.6003,2.3444,2.6116,0.8633,0.8984,0.5977,0.6178,58
RLIM,0.5026,0.4971,1.2455,1.1159,1.1503,1.0992,1.0822,1.146,1.5323,1.5347,20
RMDN1,0.4269,0.3671,1.5854,1.6659,1.0585,1.019,1.723,1.4544,0.6605,0.6109,116
RMDN2,0.1847,0.1843,0.1459,0.1391,1.0734,1.0236,2.6245,2.5277,0.7932,0.8311,29
RMDN3,0.6054,0.6306,0.4128,0.4313,1.0969,1.0341,2.2549,2.1021,0.8176,0.853,100
RMI1,0.9584,0.9615,1.742,1.7058,1.063,0.9851,0.7072,0.7839,1.4322,1.3819,26
RMI2,2.2465,2.3732,1.1461,1.2209,0.954,0.9973,0.8772,0.834,1.0698,1.1542,7
RMND1,0.3812,0.2956,0.2178,0.1949,1.051,1.0011,2.6039,2.3557,0.8189,0.8725,34
RMND5A,1.188,1.1791,1.4305,1.4355,1.2332,1.2047,0.5658,0.6112,1.6205,1.4771,28
RMND5B,0.8713,0.7928,1.0052,1.0139,1.1804,1.1963,0.6238,0.7119,2.2381,2.2436,2
RNASE4,0.7836,0.8902,1.9542,1.8944,0.976,1.0139,1.089,1.0357,1.0398,0.8657,1
RNASEH1,0.9344,0.8239,1.051,1.0239,0.9523,0.9737,1.6003,1.4183,1.2274,0.9961,21
RNASEH2A,2.3136,2.7674,1.6356,1.5424,0.6995,0.7097,0.8003,0.7287,0.7185,0.6681,39
RNASEH2B,2.318,2.8764,2.2325,1.8484,0.6054,0.5604,0.6937,0.6582,0.647,0.5794,36
RNASEH2C,2.2732,2.6443,1.862,1.6948,0.6082,0.6283,0.714,0.7289,0.8921,0.7494,21
RNASEL,3.2912,3.3681,1.5073,1.5819,0.5069,0.5981,0.6015,0.6414,0.7488,0.8136,33
RNASET2,0.2873,0.2903,0.8887,0.9064,0.8597,0.8239,2.2056,1.7738,1.2755,1.0308,10
RND3,0.671,0.6858,0.9492,0.9886,1.1578,1.1627,1.5491,1.5783,1.1402,1.154,6
RNF10,0.7908,0.7705,0.9193,0.8597,0.7969,0.8136,0.9234,0.8939,2.6749,2.3519,14
RNF11,0.8604,1.0174,0.7291,0.7795,0.879,0.9027,1.4698,1.4029,1.7035,1.5111,4
RNF111,1.0483,1.3063,1.8048,1.7428,1.0091,1.004,0.9459,0.8947,0.9032,0.9158,4
RNF113A,2.4761,2.5298,1.7944,1.59,0.9957,1.1785,0.6247,0.6088,0.5846,0.5535,19
RNF114,4.2797,4.3768,1.2508,1.2422,0.5795,0.6007,0.5728,0.5944,0.454,0.4621,75
RNF121,0.6403,0.8168,0.8989,0.8039,1.4404,1.5998,1.3946,1.4577,0.919,0.7829,3
RNF123,3.9767,4.0107,0.9565,1.0722,0.6293,0.6916,0.696,0.7512,0.7495,0.7701,29
RNF126,2.6851,2.9124,1.105,1.1486,0.6906,0.7929,0.9025,0.9268,1.0748,0.9682,20
RNF128,0.2377,0.2108,0.2592,0.251,1.0305,1.0608,1.7321,1.5007,2.3825,2.0646,5
RNF13,0.4193,0.4438,0.4138,0.3797,0.8378,0.7778,1.7858,1.555,2.4763,1.888,28
RNF130,1.0574,1.0447,0.6622,0.7095,1.039,0.9487,1.628,1.4762,1.229,1.3193,5
RNF135,3.6228,4.0448,0.8307,0.9042,0.6108,0.6517,0.7966,0.8339,0.66,0.72,8
RNF138,1.2846,1.78,2.5508,2.3943,0.7644,0.8265,0.6281,0.5463,0.814,0.7243,4
RNF139,0.3031,0.3301,0.3912,0.3933,1.2994,1.1758,1.8907,1.7202,1.2908,1.3688,17
RNF14,4.5388,4.8667,0.9009,0.961,0.4061,0.4849,0.5923,0.6289,0.5697,0.6376,19
RNF141,4.4076,4.5363,0.9279,0.9869,0.5482,0.5852,0.6996,0.6667,0.6287,0.6878,6
RNF144B,0.8072,0.8157,0.3533,0.353,1.0222,1.0989,1.6859,1.525,1.9291,1.6419,3
RNF145,0.6957,0.5622,0.3392,0.3044,0.8502,1.0106,1.6896,1.5912,1.3296,1.4023,5
RNF146,4.6307,4.1392,1.0181,1.2157,0.4834,0.5671,0.5685,0.5834,0.5602,0.538,5
RNF149,0.458,0.4659,0.4828,0.4237,1.1087,1.0492,1.5668,1.4241,1.9936,1.8462,12
RNF166,2.5166,2.71,0.8564,0.9135,0.7395,0.8699,1.1921,1.2405,0.9749,0.8977,2
RNF167,0.9352,0.9122,0.6617,0.6142,0.6737,0.6261,1.6655,1.4035,1.674,1.5777,15
RNF168,0.4682,0.5303,1.5943,1.5752,1.3666,1.3529,0.8531,0.8088,1.4652,1.2476,14
RNF169,0.4639,0.4403,1.2149,1.3371,2.237,2.247,0.7349,0.728,0.6465,0.6303,56
RNF170,0.453,0.4611,0.383,0.3901,1.3455,1.3169,1.6078,1.6478,1.3537,1.2853,21
RNF181,3.714,4.0353,1.3065,1.2976,0.6754,0.6775,0.5875,0.6393,0.4703,0.6053,10
RNF187,1.3812,1.626,1.5405,1.4779,0.7653,0.768,1.3963,1.4411,0.6624,0.6731,6
RNF19A,0.4483,0.4691,0.5252,0.5354,1.3196,1.2094,1.6016,1.573,1.697,1.4164,11
RNF19B,1.1692,0.996,0.8995,0.7909,1.1396,1.1355,1.371,1.2729,1.3592,1.2179,6
RNF2,0.4824,0.5373,1.1069,1.0741,1.8026,1.9208,0.6589,0.6635,1.5174,1.4127,35
RNF20,0.5149,0.4981,3.0122,2.8869,0.8899,0.8949,0.6202,0.6275,0.6665,0.6222,139
RNF213,1.1537,1.0307,1.7534,1.6212,0.6827,0.7159,0.7589,0.8439,1.675,1.5506,310
RNF214,3.3902,3.3346,1.8255,1.836,0.5432,0.6132,0.5907,0.5392,0.6273,0.5515,64
RNF216,1.4829,1.6429,1.8166,1.7289,0.8502,0.8681,0.938,0.9562,0.8141,0.8505,13
RNF217,1.418,1.0009,0.6864,0.9756,1.1319,0.7095,1.6457,1.2687,0.7709,1.2822,2
RNF219,0.584,0.4192,1.4554,1.3816,0.9079,0.9031,1.0464,1.0696,1.705,1.4833,42
RNF220,1.1423,1.1842,2.4506,2.4344,0.6561,0.7457,0.652,0.6478,0.9626,0.9102,12
RNF223,0.5201,0.4921,0.4912,0.5458,1.5048,1.3854,1.444,1.3892,1.561,1.3673,7
RNF24,0.4723,0.4601,0.2604,0.2214,1.003,1.0141,1.9413,1.8233,1.9119,1.7486,5
RNF25,2.7597,2.955,1.3315,1.1892,0.7516,0.7455,0.8806,0.8763,0.7963,0.822,18
RNF26,0.3648,0.3253,0.5142,0.5336,1.4209,1.5676,1.3323,1.3332,1.8332,1.6976,2
RNF31,3.6164,3.8823,1.0591,1.0509,0.5326,0.695,0.7195,0.7668,0.7814,0.8737,14
RNF34,2.6315,2.4284,1.302,1.3509,0.8325,0.8194,1.1165,0.96,0.8539,0.7608,6
RNF4,2.9112,2.8353,2.1362,2.0829,0.7815,0.6657,0.5751,0.5201,0.685,0.6013,5
RNF40,0.54,0.5729,2.7475,2.5634,0.9152,0.9263,0.6839,0.7101,0.7257,0.7123,135
RNF41,1.6979,1.8359,0.9004,0.8677,0.8437,0.8999,1.2234,1.0881,1.4022,1.2413,4
RNF44,1.1644,1.248,0.8916,0.8046,0.8267,0.9684,1.5713,1.5567,1.173,1.3648,1
RNF5,0.4272,0.4691,0.2512,0.2208,1.2493,1.1259,1.9332,1.8037,1.5117,1.4632,6
RNF6,0.7261,0.6425,0.5396,0.5298,2.0764,2.3103,0.8717,0.9,0.8729,0.8173,10
RNF7,2.33,1.5054,1.547,1.2905,0.8337,0.7039,1.0887,0.8394,0.8967,1.1138,3
RNF8,2.7043,3.1485,1.9168,1.8528,0.7064,0.6854,0.7647,0.6804,0.4882,0.4817,1
RNFT1,0.6918,0.7945,0.5272,0.5094,0.9381,0.9555,1.6043,1.4516,1.6819,1.5723,13
RNFT2,0.5545,0.4998,0.3551,0.3278,0.8982,0.8204,2.0235,1.6519,1.9127,1.6574,13
RNGTT,1.6368,2.0441,1.6111,1.592,0.8456,0.8091,0.9954,0.9085,0.9828,0.8937,40
RNH1,4.2453,4.6142,1.2123,1.166,0.543,0.5581,0.5767,0.5741,0.5676,0.6048,202
RNMT,0.4092,0.3943,2.3621,2.1087,0.9895,0.977,0.594,0.5959,1.4099,1.2411,107
RNMTL1,0.4513,0.4232,0.4002,0.3733,1.0119,0.9962,1.9629,1.7729,1.5501,1.4744,34
RNPC3,0.5558,0.5539,0.5348,0.498,1.7558,1.8948,0.8819,0.7863,1.9153,1.7763,28
RNPEP,4.2196,4.6904,1.3623,1.3107,0.4849,0.5237,0.5061,0.4764,0.4668,0.4756,192
RNPEPL1,4.6756,4.9041,1.2001,1.0883,0.4005,0.4387,0.6454,0.7124,0.5094,0.6011,3
RNPS1,0.3315,0.2928,0.4374,0.4423,2.6594,2.9068,0.7931,0.7985,0.7715,0.7588,44
ROBO1,0.524,0.5066,0.7956,0.7077,1.4412,1.3981,1.6941,1.6008,1.0424,1.0408,35
ROCK1,3.6605,3.6896,1.2324,1.3586,0.6121,0.6685,0.7055,0.7289,0.6241,0.6562,186
ROCK2,4.1627,4.0765,1.1323,1.2763,0.5339,0.6167,0.6261,0.6779,0.5515,0.5911,185
ROGDI,2.9118,2.8175,1.0133,1.0469,0.6134,0.7021,0.8803,1.0528,1.0151,1.0628,7
ROMO1,0.3588,0.3412,0.2479,0.2891,0.9628,1.0194,2.6428,2.4516,0.6543,0.6542,37
ROR1,0.6658,0.5071,0.6099,0.6088,1.4133,1.4427,1.759,1.5584,1.2415,1.1573,7
RORA,2.686,2.7741,1.1146,1.0104,0.8676,0.7633,1.1032,0.9406,0.8978,0.9475,2
RP2,0.5836,0.6067,0.407,0.4602,1.3586,1.3577,1.5909,1.5304,1.2068,1.1377,31
RP9,0.6085,0.6358,1.9675,2.0221,1.0613,1.1366,0.8462,0.7724,1.2158,1.0758,21
RPA1,1.0156,1.2211,2.0983,1.8945,0.7993,0.8129,0.8798,0.8987,1.0322,0.9931,191
RPA2,1.3023,1.4807,2.1109,1.8454,0.7581,0.8582,0.8523,0.8892,1.0281,0.9897,47
RPA3,1.2029,1.3943,1.9477,1.7475,0.814,0.8459,0.8708,0.8719,1.1375,1.1038,32
RPA3-AS1,3.8497,3.9086,1.5784,1.7079,0.4398,0.5736,0.6155,0.5872,0.564,0.5421,5
RPAIN,1.7194,1.9209,2.2239,2.046,0.931,0.8582,0.7633,0.7244,0.7847,0.7301,7
RPAP1,3.5084,3.6895,1.0315,1.058,0.6638,0.6648,0.7099,0.7638,0.7582,0.7681,78
RPAP2,2.6899,2.777,0.9043,0.876,0.689,0.8235,0.8606,0.9721,1.0613,1.1712,37
RPAP3,2.1229,2.0846,1.85,1.8821,0.6537,0.7154,0.6548,0.6812,1.0782,1.003,114
RPE,4.5477,5.107,1.2932,1.4126,0.4868,0.4332,0.377,0.4004,0.3941,0.4239,31
RPF1,0.654,0.6869,0.448,0.4445,2.3281,2.7314,0.7152,0.7154,1.0573,1.0337,30
RPF2,0.3589,0.3667,0.378,0.363,2.717,2.8354,0.7213,0.7279,0.9598,1.0035,82
RPGR,3.4714,3.5754,1.1107,1.2947,0.6232,0.6508,0.8554,0.8377,0.7244,0.7326,6
RPGRIP1L,1.287,1.2329,0.9469,0.9679,0.8759,0.9469,1.0837,1.1612,1.6934,1.6159,14
RPIA,3.5828,3.9299,1.3701,1.2836,0.611,0.6531,0.6521,0.6252,0.705,0.6554,30
RPL10,0.606,0.5601,0.5171,0.4732,0.6085,0.6183,0.8041,0.7303,3.6566,2.9867,266
RPL10A,0.6219,0.6273,0.4127,0.3661,0.619,0.6224,0.7411,0.6943,3.8665,3.0865,556
RPL11,0.5712,0.5672,0.4367,0.403,0.5998,0.6273,0.7523,0.7162,3.9376,3.1963,237
RPL12,0.6496,0.6532,0.4584,0.4356,0.6303,0.6421,0.7449,0.6939,3.7242,3.0376,544
RPL13,0.4773,0.4618,0.3482,0.3253,0.5792,0.6055,0.724,0.6935,4.2153,3.3881,485
RPL13A,0.5205,0.5117,0.4102,0.3804,0.5957,0.5971,0.7198,0.6917,3.9075,3.2029,335
RPL14,0.599,0.5834,0.3726,0.323,0.596,0.5963,0.702,0.6623,4.0404,3.3453,313
RPL15,0.5621,0.5424,0.4461,0.4393,0.7036,0.7339,0.763,0.706,3.5428,2.8706,204
RPL18,0.5871,0.5839,0.3971,0.3689,0.6376,0.6759,0.7742,0.7289,3.5701,3.1478,268
RPL18A,0.5752,0.5695,0.4401,0.3898,0.5884,0.603,0.7146,0.6602,3.9984,3.2505,315
RPL19,0.6229,0.6136,0.7102,0.6437,0.5808,0.5903,0.6802,0.6242,3.7034,3.0127,148
RPL21,0.5413,0.5262,0.3897,0.34,0.524,0.5462,0.7625,0.7045,3.9997,3.3465,178
RPL22,0.6179,0.5872,0.7227,0.6732,0.7076,0.738,0.7661,0.7491,3.2931,2.7735,179
RPL22L1,0.5321,0.4402,0.8103,0.6787,0.9449,0.9274,0.9268,0.8857,2.4772,2.3297,12
RPL23,0.5723,0.5762,0.5927,0.5716,0.9198,0.9858,1.1381,1.1574,2.629,2.146,180
RPL23A,0.5845,0.5771,0.6262,0.5584,0.6035,0.6276,0.7069,0.6655,3.7403,3.0852,435
RPL24,0.5174,0.5399,0.5329,0.4753,0.5258,0.5643,0.7338,0.6929,4.0125,3.1586,249
RPL26,0.4047,0.414,0.5984,0.3672,0.7237,0.5464,0.7261,0.6593,4.3866,3.1925,25
RPL27,0.6611,0.6619,0.4164,0.3696,0.6467,0.645,0.7503,0.7108,3.769,3.0889,264
RPL27A,0.4809,0.4805,0.4458,0.3949,0.5057,0.5134,0.6692,0.6307,4.2766,3.396,134
RPL28,0.4699,0.4519,0.3257,0.2762,0.4686,0.4807,0.7155,0.6527,4.3877,3.5555,202
RPL29,0.494,0.5416,0.4156,0.3806,0.4662,0.5437,0.6336,0.6187,4.1371,3.5923,50
RPL3,0.5479,0.5313,0.3823,0.3527,0.5951,0.6021,0.7382,0.6996,3.9519,3.2497,796
RPL30,0.5989,0.5644,0.4664,0.4102,0.5822,0.584,0.7817,0.7333,3.9272,3.2218,301
RPL31,0.5021,0.4851,0.6961,0.6181,0.6032,0.5942,0.6976,0.6395,3.3948,2.8114,197
RPL32,0.6784,0.7201,0.4843,0.4425,0.5365,0.5239,0.6942,0.6762,3.7291,3.0546,148
RPL34,0.516,0.4747,0.3646,0.3276,0.5483,0.5413,0.6642,0.6118,4.2623,3.5081,156
RPL35,0.5427,0.5016,0.6358,0.5701,0.5564,0.5497,0.659,0.6137,4.0144,3.2019,213
RPL35A,0.5416,0.5378,0.3925,0.3614,0.5748,0.5879,0.7494,0.693,3.8917,3.4015,271
RPL36,0.6853,0.6929,0.5045,0.4712,0.6956,0.724,0.765,0.7415,3.4724,2.8552,189
RPL36AL,0.9224,0.8683,0.6691,0.5925,0.8029,0.8219,0.7845,0.7346,3.0779,2.5573,36
RPL37,0.5616,0.5676,0.6201,0.5789,0.5924,0.621,0.6344,0.6324,3.8734,3.0347,58
RPL37A,0.6077,0.6631,0.4016,0.3646,0.5419,0.56,0.7618,0.7374,3.6679,3.0505,87
RPL38,0.6166,0.6303,0.7616,0.7885,1.0505,1.1107,1.4529,1.3971,1.8142,1.6049,90
RPL3L,0.5198,0.5201,0.3037,0.2436,0.5563,0.5789,0.74,0.6313,4.4831,3.4915,9
RPL4,0.506,0.5132,0.3528,0.319,0.6435,0.6472,0.6799,0.6429,4.1006,3.3299,758
RPL5,0.685,0.6587,0.7226,0.6581,0.631,0.6432,0.7375,0.6785,3.4936,2.8447,662
RPL6,0.5729,0.5666,0.4133,0.3732,0.6108,0.614,0.7432,0.6832,3.9308,3.2039,632
RPL7,0.6019,0.6111,0.441,0.4077,0.5971,0.6048,0.7422,0.695,3.8033,3.0899,540
RPL7A,0.529,0.5196,0.3619,0.314,0.6018,0.6072,0.749,0.6897,3.9914,3.2745,480
RPL7L1,0.5028,0.4512,0.4003,0.3998,2.2129,2.3977,0.7987,0.7644,1.3336,1.2219,52
RPL8,0.5536,0.567,0.3887,0.3356,0.5461,0.5388,0.7102,0.6566,4.1695,3.3666,280
RPL9,0.5147,0.4858,0.3683,0.3286,0.5578,0.5608,0.7549,0.706,4.134,3.4361,235
RPLP0,0.5391,0.5363,0.3436,0.3001,0.5046,0.5062,0.7906,0.7588,4.1714,3.3099,608
RPLP1,0.4809,0.5232,0.3638,0.3639,0.3896,0.3537,0.6361,0.58,4.4126,3.2715,28
RPLP2,0.6647,0.6352,0.523,0.5194,0.4642,0.4649,0.6864,0.6322,4.1209,3.2159,332
RPN1,0.3987,0.3894,0.3224,0.3086,1.2772,1.1937,1.9774,1.7856,1.2058,1.3184,903
RPN2,0.4524,0.4615,0.3299,0.3151,1.2268,1.1377,1.9912,1.816,1.1202,1.1914,586
