protein.Accession,marker
AT5G39740,Ribosome
AT3G25520,Ribosome
AT5G02870,Ribosome
AT3G09630,Ribosome
At1g61580,Ribosome
AT1G43170,Ribosome
At1g52300,Ribosome
AT5G02450,Ribosome
At2g37600,Ribosome
At5g02610,Ribosome
At1g69620,Ribosome
AT1G26880,Ribosome
At5g46430,Ribosome
AT4G18100,Ribosome
AT4G29410,Ribosome
AT2G19730,Ribosome
AT4G15000,Ribosome
AT3G22230,Ribosome
AT3G49910,Ribosome
At3g53020,Ribosome
AT5G27770,Ribosome
AT3G05560,Ribosome
At4g02230,Ribosome
AT2G34480,Ribosome
At1g67430,Ribosome
At1g27400,Ribosome
AT4G27090,Ribosome
AT2G20450,Ribosome
At5g23900,Ribosome
AT3G49010,Ribosome
At5g48760,Ribosome
AT3G24830,Ribosome
At3g07110,Ribosome
AT2G27530,Ribosome
AT1G08360,Ribosome
AT1G14320,Ribosome
AT1G74050,Ribosome
AT3G16080,Ribosome
AT3G56020,Ribosome
AT1G74270,Ribosome
AT3G02190,Ribosome
AT2G36170,Ribosome
AT5G67510,Ribosome
AT1G80750,Ribosome
AT2G43460,Ribosome
AT2G33370,Ribosome
AT1G70600,Ribosome
AT1G57860,Ribosome
AT3G59540,Ribosome
AT1G02830,Ribosome
AT2G44860,Ribosome
AT1G07070,Ribosome
AT3G58700,Ribosome
AT4G17390,Ribosome
AT3G55170,Ribosome
AT3G53430,Ribosome
AT1G15250,Ribosome
AT3G16780,Ribosome
AT2G39390,Ribosome
AT5G56710,Ribosome
AT4G16030,Ribosome
AT2G40205,Ribosome
AT5G45775,Ribosome
AT2G25210,Ribosome
AT3G48960,Ribosome
AT2G32220,Ribosome
AT3G14600,Ribosome
AT4G13170,Ribosome
AT5G22440,Ribosome
AT1G41880,Ribosome
AT4G16720,Ribosome
AT2G47570,Ribosome
AT1G74060,Ribosome
AT1G09690,Ribosome
AT4G14320,Ribosome
AT4G31985,Ribosome
AT3G09500,Ribosome
AT3G28900,Ribosome
AT1G77940,Ribosome
AT4G26230,Ribosome
AT3G08520,Ribosome
AT3G10950,Ribosome
AT1G09590,Ribosome
AT3G53740,Ribosome
AT1G29965,Ribosome
AT3G51190,Ribosome
AT3G06700,Ribosome
AT3G11120,Ribosome
AT3G55750,Ribosome
AT3G06680,Ribosome
AT4G10450,Ribosome
AT2G19740,Ribosome
AT5G60670,Ribosome
AT3G23390,Ribosome
AT3G04400,Ribosome
AT1G26910,Ribosome
AT4G18730,Ribosome
AT3G05590,Ribosome
AT2G39460,Ribosome
AT3G55280,Ribosome
AT2G36620,Ribosome
AT2G42740,Ribosome
AT1G66580,Ribosome
AT3G09200,Ribosome
AT1G04480,Ribosome
AT2G37190,Ribosome
AT2G40010,Ribosome
AT1G12960,Ribosome
AT1G57660,Ribosome
AT1G36240,Ribosome
AT2G27535,Ribosome
AT1G33120,Ribosome
AT1G23290,Ribosome
AT1G33140,Ribosome
AT1G48830,Ribosome
AT1G72370,Ribosome
AT5G39850,Ribosome
AT5G15200,Ribosome
AT5G20290,Ribosome
AT5G16130,Ribosome
AT3G02560,Ribosome
AT5G10360,Ribosome
AT4G31700,Ribosome
AT3G11940,Ribosome
AT2G37270,Ribosome
At5g58420,Ribosome
At5g35530,Ribosome
At3g53870,Ribosome
AT4G34670,Ribosome
AT3G04840,Ribosome
At2g31610,Ribosome
At3g57490,Ribosome
AT2G41840,Ribosome
At5g47930,Ribosome
AT5G28060,Ribosome
AT3G04920,Ribosome
At5g02960,Ribosome
At3g47370,Ribosome
At5g61170,Ribosome
At3g02080,Ribosome
AT2G09990,Ribosome
AT5G09510,Ribosome
AT3G46040,Ribosome
AT1G04270,Ribosome
AT3G52580,Ribosome
AT3G11510,Ribosome
AT2G36160,Ribosome
AT4G00100,Ribosome
At3g60770,Ribosome
At2g32060,Ribosome
AT5G23740,Ribosome
AT3G48930,Ribosome
AT5G52650,Ribosome
At5g41520,Ribosome
At1g15930,Ribosome
AT5G15750,Ribosome
AT2G45710,Ribosome
AT4G29390,Ribosome
AT3G10610,Ribosome
AT2G17360,Ribosome
AT4G33865,Ribosome
AT1G58983,Ribosome
AT3G04230,Ribosome
AT5G62300,Ribosome
AT3G45030,Ribosome
AT4G39200,Ribosome
AT3G09680,Ribosome
AT1G58684,Ribosome
AT2G04390,Ribosome
AT1G59359,Ribosome
AT5G56670,Ribosome
AT2G40590,Ribosome
AT5G59850,Ribosome
AT5G15520,Ribosome
AT1G23410,Ribosome
AT3G43980,Ribosome
AT1G33850,Ribosome
AT5G07090,Ribosome
AT5G27700,Ribosome
AT2G40510,Ribosome
AT3G44010,Ribosome
AT5G18380,Ribosome
AT3G10090,Ribosome
AT3G56340,Ribosome
AT5G63070,Ribosome
AT5G03850,Ribosome
AT2G21580,Ribosome
AT2G19750,Ribosome
AT4G25740,Ribosome
AT3G53890,Ribosome
AT2G05220,Ribosome
AT5G59240,Ribosome
AT1G58380,Ribosome
AT3G04770,Ribosome
AT1G07770,Ribosome
AT2G19720,Ribosome
AT4G29430,Ribosome
AT3G61110,Ribosome
AT5G64140,Ribosome
AT4G09800,Ribosome
AT3G62250,Ribosome
AT1G34030,Ribosome
AT5G09490,Ribosome
AT4G30800,Ribosome
AT5G04800,Ribosome
AT4G34555,Ribosome
AT2G16360,Ribosome
AT2G39590,Ribosome
AT5G09500,Ribosome
AT5G43640,Ribosome
AT1G22780,Ribosome
AT5G24510,Ribosome
AT5G57290,Ribosome
AT3G44590,Ribosome
AT1G01100,Ribosome
AT1G25260,Ribosome
AT4G25890,Ribosome
AT3G11250,Ribosome
AT4G00810,Ribosome
AT5G47700,Ribosome
AT5G40040,Ribosome
AT3G28500,Ribosome
AT1G30400,Vacuole
AT2G47800,Vacuole
At2g43330,Vacuole
AT2G02040,Vacuole
AT2G02020,Vacuole
AT1G62200,Vacuole
AT4G03560,Vacuole
AT2G41560,Vacuole
AT3G57330,Vacuole
AT2G23150,Vacuole
AT5G67330,Vacuole
AT2G46800,Vacuole
AT1G15690,Vacuole
AT1G63010,Vacuole
AT5G39040,Vacuole
AT5G39510,Vacuole
AT2G21410,Vacuole
AT4G39080,Vacuole
AT3G26520,Vacuole
AT1G16240,Vacuole
AT5G11150,Vacuole
AT3G55130,Vacuole
AT4G32150,Vacuole
AT2G25340,Vacuole
AT4G21790,Vacuole
AT1G32400,Vacuole
AT1G19450,Vacuole
AT1G09960,Vacuole
AT1G75220,Vacuole
AT1G80310,Vacuole
AT5G46860,Vacuole
AT1G58030,Vacuole
AT3G20660,Vacuole
