Protein.ID,Loc.Predicted,Loc.Confirmed,Loc.Assigned,M1F1A,M1F4A,M1F7A,M1F11A,M1F2B,M1F5B,M1F8B,M1F11B,M2F1A,M2F4A,M2F7A,M2F11A,M2F2B,M2F5B,M2F8B,M2F11B
At1g02120,unknown,unknown,"not classified",0.27875,0.34725,0.213,0.161,0.426333,0.263333,0.187667,0.122667,0.296,0.34,0.226,0.138,0.336667,0.299,0.199667,0.164667
At5g44240,unknown,unknown,"not classified*",0.196,0.218,0.28,0.306,0.1905,0.19175,0.33125,0.286,0.197375,0.217625,0.32975,0.255375,0.1916,0.2214,0.322,0.2652
At1g17500,unknown,unknown,"not classified",0.291,0.263,0.23,0.217,0.308857,0.236143,0.225857,0.229429,0.2,0.255,0.266,0.279,0.2105,0.2495,0.2625,0.278
At3g25610,unknown,unknown,"not classified",0.239,0.256333,0.231667,0.273,0.339,0.1745,0.2185,0.2675,0.186857,0.226714,0.309857,0.276714,0.1944,0.2146,0.3156,0.2758
At1g09870,unknown,unknown,"not classified",0.35375,0.31725,0.19125,0.1375,0.509,0.197,0.188,0.106,0.27375,0.371,0.22025,0.13525,0.35025,0.30875,0.201,0.14
At4g21700,unknown,unknown,"not classified",0.1185,0.32,0.2825,0.2785,0.193,0.278,0.286667,0.242333,0.0865,0.35975,0.33475,0.219,0.171,0.2805,0.2925,0.2565
At5g24290,unknown,unknown,"not classified",0.268,0.274,0.1975,0.2605,0.377,0.188,0.193,0.242,0.2575,0.2155,0.26425,0.26225,0.2314,0.1798,0.267,0.3218
At4g30260,unknown,unknown,"not classified",0.1715,0.332,0.3055,0.191,0.167667,0.358333,0.278333,0.195667,0.1145,0.282,0.3465,0.257,0.0945,0.32,0.331,0.2545
At3g16460,unknown,unknown,"not classified",0.332571,0.215857,0.193857,0.257571,0.325778,0.176667,0.225444,0.272222,0.246083,0.180333,0.2565,0.316917,0.203556,0.186111,0.243333,0.366667
At1g28340,unknown,unknown,"not classified",0.160667,0.354,0.29,0.195,0.208,0.357333,0.271333,0.163333,0.1005,0.312,0.348,0.239,0.1345,0.2925,0.329,0.244
At4g23850,unknown,unknown,"not classified",0.32075,0.21825,0.20075,0.26,0.39,0.173,0.186,0.251,0.361778,0.202,0.208667,0.227222,0.207,0.174,0.235333,0.383333
At1g63050,unknown,unknown,"not classified",0.217,0.2935,0.233,0.2565,0.315,0.29,0.196,0.199,0.231333,0.369667,0.224333,0.174333,0.2415,0.245,0.245,0.2685
At5g26260,unknown,unknown,"not classified",0.233,0.24675,0.23025,0.29025,0.2976,0.1896,0.2258,0.2872,0.308667,0.193333,0.240167,0.257833,0.254167,0.197833,0.255,0.293167
At5g26280,unknown,unknown,"not classified",0.198,0.253,0.233,0.316,0.315,0.145,0.265,0.275,0.312,0.192,0.214,0.283,0.245,0.184,0.268,0.303
At5g22640,unknown,unknown,"not classified",0.014,0.063,0.294,0.6285,0.1,0.1205,0.29,0.4895,0.0802,0.0964,0.2138,0.609,0.096,0.073,0.284,0.5465
At4g28220,unknown,unknown,"not classified",0.06,0.19,0.262,0.488,0.132,0.2265,0.28,0.362,0.046,0.158333,0.323667,0.472,0.0656667,0.178667,0.321,0.434333
At3g01930,unknown,unknown,"not classified",0.390333,0.223667,0.207,0.179667,0.471333,0.190333,0.171667,0.166667,0.407333,0.206333,0.210667,0.176,0.356,0.217,0.227,0.2
At2g16660,unknown,unknown,"not classified",0.324,0.254,0.203,0.219,0.628667,0.116333,0.118667,0.136,0.5105,0.1905,0.15575,0.14325,0.465,0.180333,0.175333,0.179667
At2g16060,unknown,unknown,"not classified",0.235,0.2552,0.2314,0.2778,0.324,0.18,0.2035,0.2925,0.2554,0.2062,0.2544,0.2834,0.245,0.189,0.26,0.306
At1g48920,unknown,unknown,"not classified",0.13775,0.2415,0.28025,0.341,0.148667,0.248167,0.286167,0.317667,0.0668,0.164,0.3302,0.4388,0.0522,0.1772,0.3484,0.4224
At4g09320,unknown,unknown,"not classified",0.234667,0.204667,0.233,0.327667,0.2145,0.15225,0.26525,0.36775,0.3605,0.148,0.2045,0.2875,0.2175,0.1155,0.2645,0.403
At2g17720,unknown,unknown,"not classified*",0.209833,0.277167,0.263833,0.249333,0.316,0.233,0.249,0.2015,0.1588,0.3042,0.3104,0.2268,0.21425,0.28675,0.29525,0.20375
At5g18900,unknown,unknown,"not classified*",0.195,0.2695,0.308,0.22775,0.316333,0.237667,0.235667,0.21,0.225333,0.259667,0.299333,0.215667,0.2235,0.242,0.307,0.227
At3g06300,unknown,unknown,"not classified*",0.1565,0.22425,0.33575,0.2835,0.248,0.201,0.278333,0.272,0.215,0.24,0.32,0.2245,0.195333,0.238,0.310667,0.255667
At4g38350,unknown,unknown,"not classified",0.402667,0.218167,0.1775,0.201833,0.526,0.1632,0.1432,0.167,0.477091,0.171818,0.164273,0.186909,0.4383,0.1539,0.1872,0.2208
At1g11580,unknown,unknown,"not classified",0.320083,0.259333,0.218,0.202917,0.387,0.1931,0.225,0.1951,0.323875,0.243188,0.252313,0.180688,0.318778,0.239444,0.253222,0.188444
