Protein,Cluster
NT5DC1,mclust13
NTAN1,mclust13
NUB1,mclust13
NUDCD1,mclust13
NUDT16,mclust13
NUDT2,mclust13
OARD1,mclust13
OGFR,mclust13
OTUB1,mclust13
PAAF1,mclust13
PANK1,mclust13
PAPSS2,mclust13
PARK7,mclust13
PCNA,mclust13
PCYT2,mclust13
PDAP1,mclust13
PDE6D,mclust13
PDXP,mclust13
PEX19,mclust13
PFAS,mclust13
PFDN1,mclust13
PFDN2,mclust13
PFDN5,mclust13
PFDN6,mclust13
PFKFB2,mclust13
PFKL,mclust13
PFN1,mclust13
PGM2,mclust13
PGM2L1,mclust13
PGM3,mclust13
PGP,mclust13
PHYKPL,mclust13
PIN4,mclust13
PLAA,mclust13
PLEKHA2,mclust13
PM20D2,mclust13
PMM1,mclust13
PNPO,mclust13
PPIA,mclust13
PPID,mclust13
PPM1A,mclust13
PPP1R11,mclust13
PPP1R14B,mclust13
PPP1R2,mclust13
PPP1R7,mclust13
PPP2R2A,mclust13
PPP2R4,mclust13
PPP4C,mclust13
PRDX1,mclust13
PROSC,mclust13
PSMD9,mclust13
PSMG1,mclust13
PSMG4,mclust13
PTGES3,mclust13
PYGL,mclust13
PYROXD1,mclust13
QDPR,mclust13
RABEP1,mclust13
RABEPK,mclust13
RAD23A,mclust13
RAD23B,mclust13
RAN,mclust13
RNPEP,mclust13
RWDD4,mclust13
S100A6,mclust13
SBDS,mclust13
SCRN3,mclust13
Sep-10,mclust13
Sep-11,mclust13
Sep-02,mclust13
Sep-03,mclust13
Sep-07,mclust13
Sep-09,mclust13
SERPINB1,mclust13
SETD7,mclust13
SGTA,mclust13
SH3D19,mclust13
SH3KBP1,mclust13
SKA3,mclust13
SMAD4,mclust13
SORBS3,mclust13
SORD,mclust13
SPA17,mclust13
SRI,mclust13
SRM,mclust13
SSNA1,mclust13
SSU72,mclust13
ST13,mclust13
STAMBP,mclust13
STIP1,mclust13
TAB1,mclust13
TACC2,mclust13
TALDO1,mclust13
TANGO2,mclust13
TATDN1,mclust13
TATDN3,mclust13
TBC1D13,mclust13
TBPL1,mclust13
TCEB1,mclust13
TECPR2,mclust13
TEX30,mclust13
THOP1,mclust13
TK1,mclust13
TOMM34,mclust13
TPI1,mclust13
TPM1,mclust13
TPM2,mclust13
TPM3,mclust13
TPM4,mclust13
TRIM21,mclust13
TRIM65,mclust13
TSTA3,mclust13
TTLL12,mclust13
TWF2,mclust13
TXLNA,mclust13
TXLNG,mclust13
TXNL1,mclust13
TYW5,mclust13
UAP1L1,mclust13
UBA1,mclust13
UBA6,mclust13
UBAC1,mclust13
UBE2A,mclust13
UBE2B,mclust13
UBE2C,mclust13
UBE2G1,mclust13
UBE2H,mclust13
UBE2K,mclust13
UBE2L3,mclust13
UBFD1,mclust13
UBL7,mclust13
UBXN1,mclust13
UCK2,mclust13
UGDH,mclust13
UNC119,mclust13
UNC119B,mclust13
UPRT,mclust13
UROD,mclust13
USP13,mclust13
USP15,mclust13
USP5,mclust13
USP8,mclust13
VBP1,mclust13
VCPIP1,mclust13
WDR1,mclust13
WDR44,mclust13
WDR53,mclust13
WDSUB1,mclust13
WDYHV1,mclust13
XIAP,mclust13
YAP1,mclust13
YARS,mclust13
