Protein,FS1 A HCC827-rep2,FS1 B HCC827-rep2,FS2 A HCC827-rep2,FS2 B HCC827-rep2,FP1 A HCC827-rep2,FP1 B HCC827-rep2,FP2 A HCC827-rep2,FP2 B HCC827-rep2,FP3 A HCC827-rep2,FP3 B HCC827-rep2,MIN PSMs for quant
TMEM5,0.8655,0.7981,0.9221,0.7627,1.1581,1.2290,1.4931,1.7128,1.2548,1.1637,1
TMEM50A,0.3431,0.2932,0.2948,0.2299,1.4416,1.6418,2.0984,2.2506,2.0116,2.0365,3
TMEM51,0.4032,0.5048,0.3547,0.3243,1.4407,1.4504,2.1190,2.0429,1.7390,2.1873,4
TMEM53,0.2897,0.3211,0.3741,0.5500,1.3187,1.5448,2.2729,2.0127,1.6774,1.7445,6
TMEM54,0.8532,0.8794,0.3860,0.7052,1.5544,1.4515,2.1704,1.9192,1.7532,1.7565,1
TMEM55B,0.6546,0.6469,0.4128,0.4962,0.9029,0.9736,1.8818,1.5554,1.9056,2.0208,15
TMEM57,0.3676,0.3395,0.5225,0.5966,1.2380,1.2395,2.0491,1.7934,1.8470,1.7862,29
TMEM59,0.5671,0.6277,0.5239,0.3729,1.0632,1.2132,1.8703,1.8126,2.0349,1.8814,12
TMEM62,0.6975,0.5112,0.6622,0.5961,1.2157,1.2318,1.6947,1.9278,1.6722,1.6165,2
TMEM63A,0.9130,0.8183,0.7572,0.7326,1.0704,1.0633,1.4278,1.5391,1.6565,1.5354,20
TMEM63B,0.4855,0.4857,0.4505,0.4427,1.3068,1.3355,1.9670,1.6381,1.9262,1.9436,18
TMEM63C,0.1730,0.1894,0.3143,0.3071,1.3550,1.3296,2.1622,2.0294,2.1298,2.3955,1
TMEM65,0.2481,0.2359,0.3525,0.3100,1.7821,1.6937,2.6168,2.7237,1.0532,1.1662,5
TMEM66,0.3767,0.3775,0.3812,0.3491,1.3921,1.4542,2.0381,1.7868,1.7201,1.8664,11
TMEM68,0.5074,0.3899,0.4486,0.4344,1.3024,1.3382,1.9943,1.8661,1.9201,2.0603,6
TMEM69,0.1750,0.3236,0.2696,0.1736,1.5449,2.2889,2.5901,2.8476,0.7220,1.3513,2
TMEM70,0.4971,0.5428,0.5319,0.5312,1.5138,1.5307,2.4391,2.0407,0.9971,1.1011,88
TMEM75,1.1655,1.1657,1.5693,1.5337,0.9519,0.8986,0.7778,0.7277,0.5430,0.5902,1
TMEM87A,0.4912,0.4512,0.3087,0.3192,1.1503,1.1383,2.0090,1.7715,2.2675,2.3219,37
TMEM87B,0.4033,0.4056,0.2365,0.2559,1.0549,1.1374,2.0266,1.4917,2.6065,2.6518,5
TMEM8A,1.2412,1.3920,0.7727,0.9147,0.8973,0.9457,1.4629,1.1138,1.2156,1.3216,5
TMEM9,0.8523,1.0138,0.7714,0.6611,1.0882,1.1849,1.4938,1.4369,1.6174,1.6477,5
TMEM92,0.5729,0.5529,0.7128,0.7683,1.1139,1.1301,1.4821,1.3824,1.8385,1.9967,2
TMEM97,0.4189,0.4504,0.3287,0.3213,1.2353,1.3359,2.3455,2.1549,1.9400,2.0878,12
TMEM9B,0.5599,0.6776,0.5725,0.6531,1.1478,1.2133,1.6540,1.4783,1.8286,1.7890,11
TMF1,0.6022,0.5292,0.7590,0.7499,0.8696,0.9304,1.6378,1.6299,1.8574,1.8489,117
TMLHE,0.4277,0.4147,1.3201,1.2768,1.4281,1.3475,1.6359,1.3612,0.5927,0.5301,30
TMOD1,1.3569,1.2649,1.4334,1.2384,1.0236,0.8860,0.8109,0.9260,0.7769,0.5861,2
TMOD2,1.4207,1.5380,1.0094,1.0716,0.8889,1.0576,0.8674,0.8435,0.9602,0.9048,3
TMOD3,1.9931,1.8209,1.2608,1.1851,0.7513,0.7426,0.6946,0.6654,0.7717,0.7116,123
TMPO,0.4999,0.4951,0.7110,0.7350,1.8548,1.9822,1.4506,1.4357,0.9268,1.0120,332
TMPPE,0.3000,0.4533,0.3603,0.3093,1.2882,1.3316,2.2299,2.0632,1.9159,2.0701,4
TMPRSS11E,0.2486,0.2742,0.3438,0.3859,1.2825,1.5218,2.2008,2.0500,1.8316,2.1664,2
TMPRSS4,0.3390,0.3209,0.4138,0.4093,1.4851,1.4546,2.2673,1.9730,1.7439,1.7508,6
TMSB10,4.0561,3.5470,0.8001,0.9219,0.2903,0.2387,0.1719,0.2053,0.1895,0.1860,13
TMSB4X,5.6224,3.8650,0.6881,0.7065,0.1516,0.2284,0.0993,0.6365,0.0938,0.2699,1
TMTC3,0.4527,0.5136,0.2802,0.3767,1.2238,1.3694,2.3071,2.1791,1.8785,1.9788,37
TMTC4,1.4551,1.4979,0.5165,0.6107,1.0623,1.2386,1.5435,1.4587,1.1361,1.3837,1
TMUB1,0.5690,0.6022,0.4744,0.4626,1.2731,1.3350,1.6693,1.6128,2.0654,2.1248,7
TMUB2,0.8706,0.5966,0.5839,0.4825,1.1645,1.1633,1.7005,1.4233,1.6525,1.9147,9
TMX1,0.4575,0.4305,0.4300,0.4792,1.2982,1.3872,2.0457,1.8938,1.7806,1.8192,100
TMX2,0.3613,0.4777,0.4461,0.4379,1.2487,1.2685,2.0898,1.8078,1.8115,2.0431,27
TMX3,0.4483,0.4067,0.3639,0.3684,1.2995,1.3559,2.2576,1.9266,1.9061,2.0192,62
